版本,说明,样本数,路径相对累计代价_Jplan_mean,路径长度_L_m_mean,平均侧滑附着利用率_mean,平均下坡制动利用率_mean,P_rho_slide_gt_0p7_mean,P_rho_max_gt_1p0_mean
V10-constant,常数附着能力,4,8743.264188231133,4806.522424387473,0.5414206443052014,0.3432036482996999,0.3072862484085902,0.3622062863743193
V10-LC,只使用土地覆盖基础附着,4,9317.963477343195,4851.469906962358,0.7224842749579196,0.4312292926123159,0.3997519521450431,0.4828405977343788
V10-LC-TWI,土地覆盖 + TWI,4,9910.55748397421,4860.628963817735,0.821622627907082,0.5729380802040148,0.4696918798605798,0.5141601768477897
V10-LC-TWI-Water,土地覆盖 + TWI + 水系影响,4,10001.312167330885,4914.735503247997,0.8276441904276197,0.4868805908083901,0.4671125514951501,0.523471547326212
V10-Full,土地覆盖 + TWI + 水系 + 土壤软弱倾向,4,9747.965658165844,4864.846670236778,0.8006586431478713,0.48030726317069383,0.45621423637693814,0.5152022075584497
