roi_id,r0,c0,r1,c1,mean_ai,mean_slope_deg,score
1,540,540,720,720,0.13638736368741042,36.30258945031257,0.8217561004551988
2,360,540,540,720,0.13669645281047313,36.13156774798258,0.8216760870537195
3,270,720,450,900,0.13485750161417523,36.528238649078176,0.8150598033593438
4,630,630,810,810,0.13320072822046336,35.39434293136982,0.7924530228213847
