degree,rho_up_grade,rho_down_mu_0.35,rho_slide_mu_0.35,rho_down_mu_0.5,rho_slide_mu_0.5,rho_down_mu_0.7,rho_slide_mu_0.7,rho_roll_cgH_0.4,rho_roll_cgH_0.45,rho_roll_cgH_0.5,rho_roll_cgH_0.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0075575452996124205,0.012466716594956715,0.012466716594956715,0.00872670162394973,0.00872670162394973,0.006233358306383155,0.006233358306383155,0.004084484834378598,0.00459504543813825,0.005105606041778421,0.00561616664529911
0.5,0.015115378378349984,0.024933907902356802,0.024933907902356802,0.01745373554661011,0.01745373554661011,0.012466953968988337,0.012466953968988337,0.008169125199346254,0.009190265848189173,0.010211406496793122,0.011232547145158102
0.75,0.02267378705917216,0.03740204870695154,0.03740204870695154,0.026181434117307306,0.026181434117307306,0.01870102438019152,0.01870102438019152,0.012254076649182351,0.013785836228717048,0.01531759580789328,0.01684935538671105
1.0,0.030233059252721264,0.049871613938131346,0.049871613938131346,0.03491012978661491,0.03491012978661491,0.024935807004688258,0.024935807004688258,0.016339494785554562,0.018381931631597993,0.020424368477163446,0.022466805322250927
1.25,0.037793483001199356,0.062343078742303985,0.062343078742303985,0.04364015515701864,0.04364015515701864,0.031171539415682768,0.031171539415682768,0.020425535281232202,0.02297872718869746,0.025531919095565216,0.02808511100183547
1.5,0.045355346522287746,0.07481691855534289,0.07481691855534289,0.052371843033630176,0.052371843033630176,0.03740845933111211,0.03740845933111211,0.024512353903822563,0.027576398138573634,0.030640442372607657,0.03370448660592462
1.75,0.05291893825312331,0.0872936091751293,0.0872936091751293,0.06110552647496668,0.06110552647496668,0.04364680464991723,0.04364680464991723,0.028600106539537963,0.03217511985321536,0.03575013316605613,0.03932514647806026
2.0,0.060484546894345965,0.09977362683421172,0.09977362683421172,0.06984153884381239,0.06984153884381239,0.04988681348837274,0.04988681348837274,0.03268894921700129,0.03677506786482335,0.040861186511689185,0.04494730515759877
2.25,0.0680524614542315,0.11225744827260627,0.11225744827260627,0.07858021385817886,0.07858021385817886,0.05612872421648703,0.05612872421648703,0.0367790381310976,0.04137641789264329,0.0459737976531131,0.050571177412507023
2.5,0.07562297129292414,0.12474555081076145,0.12474555081076145,0.08732188564238035,0.08732188564238035,0.062372775494484695,0.062372775494484695,0.0408705296668797,0.045979345869859564,0.05108816207164386,0.05619697827223258
2.75,0.08319636616678344,0.13723841242271154,0.13723841242271154,0.09606688877824114,0.09606688877824114,0.06861920630938322,0.06861920630938322,0.04496358042353548,0.05058402797055852,0.05620447551626625,0.061824923060658676
3.0,0.09077293627285968,0.149736511809442,0.149736511809442,0.10481555835645132,0.10481555835645132,0.07486825601167565,0.07486825601167565,0.04905834723842466,0.05519064063676982,0.06132293403367989,0.06745522742915487
3.25,0.09835297229351239,0.1622403284724909,0.1622403284724909,0.11356823002808784,0.11356823002808784,0.08112016435213142,0.08112016435213142,0.05315498721119297,0.059799360605594896,0.06644373399844189,0.07308810738973397
