roi_id,r0,c0,r1,c1,mean_ai,mean_slope_deg,score
1,180,270,360,450,0.11719493284692004,33.82447126353475,0.6815917777734886
2,270,180,450,360,0.11461861598259347,32.68299848730042,0.6552636957814285
3,90,180,270,360,0.11328479830875102,32.88537272051775,0.6496403924264205
4,0,270,180,450,0.11274328683324232,32.42865285394115,0.6420297396100721
