cg_height_m,mu_slide_mu_brake,max_grade_angle_deg,pair_id,scenario,是否找到路径,路径总代价_J,路径长度_L_m,平均单位距离代价,alpha_parallel_deg_mean_weighted,alpha_parallel_deg_max,alpha_parallel_deg_p90,alpha_cross_deg_mean_weighted,alpha_cross_deg_max,alpha_cross_deg_p90,rho_up_mean_weighted,rho_up_max,rho_up_p90,rho_down_mean_weighted,rho_down_max,rho_down_p90,rho_roll_mean_weighted,rho_roll_max,rho_roll_p90,rho_slide_mean_weighted,rho_slide_max,rho_slide_p90,rho_break_mean_weighted,rho_break_max,rho_break_p90,rho_max_mean_weighted,rho_max_max,rho_max_p90,unit_cost_mean_weighted,unit_cost_max,unit_cost_p90,E_rho_up_gt_0p5,E_rho_up_gt_0p7,E_rho_up_gt_0p9,E_rho_up_gt_1p0,E_rho_down_gt_0p5,E_rho_down_gt_0p7,E_rho_down_gt_0p9,E_rho_down_gt_1p0,E_rho_roll_gt_0p5,E_rho_roll_gt_0p7,E_rho_roll_gt_0p9,E_rho_roll_gt_1p0,E_rho_slide_gt_0p5,E_rho_slide_gt_0p7,E_rho_slide_gt_0p9,E_rho_slide_gt_1p0,E_rho_break_gt_0p5,E_rho_break_gt_0p7,E_rho_break_gt_0p9,E_rho_break_gt_1p0,E_rho_max_gt_0p5,E_rho_max_gt_0p7,E_rho_max_gt_0p9,E_rho_max_gt_1p0,上坡段数量_alpha_gt_1deg,下坡段数量_alpha_lt_minus1deg,近似平坡段数量_abs_alpha_le_1deg
0.75,0.35,25.0,1,contour_cross_slope,True,6275.984261364666,4531.384484910033,1.3850036963899943,-4.2289993385103894,51.33989972106468,34.9817816004696,9.253904506892635,34.100996270708,17.353854202759482,0.418713281052258,2.5478321653257674,1.4610361131702054,0.7216198007098852,3.060284277839851,2.217039125104515,0.25855709596908605,1.0594811440813676,0.4889912972683235,0.5901233273100778,2.418129487509167,1.1160597634657694,0.030714005056349688,0.13623717362108556,0.06565646921498099,1.2024735624206404,3.060284277839851,2.3658470933226003,1.3968475041696526,4.1098887899036,2.471397235723669,0.3265069266606774,0.27183370198207957,0.2592025029107071,0.23502369033925136,0.5462834109463577,0.4685149592675935,0.3260580908210575,0.282932479642543,0.09148323632142602,0.006315599535686265,0.006315599535686265,0.006315599535686265,0.516872584410505,0.37856414435707664,0.25027089639282235,0.1777344586784551,0.0,0.0,0.0,0.0,0.9059007566963755,0.8065694994283541,0.6336182188746761,0.572629394660392,48,82,1
0.75,0.35,25.0,2,upslope_downslope,True,5675.89643469924,4938.682246468461,1.1492734602955967,7.473325161793575,51.33989972106468,27.511757359889653,7.784406875720595,32.04975988982777,16.44321708789231,0.46641769803648747,2.5478321653257674,1.1076820216653478,0.1536833213110925,2.564257717555807,0.7785620973450956,0.21766938156206056,0.9796790096789756,0.46182511408674987,0.49680237635515584,2.235991376375616,1.0540564432732265,0.03927308419664673,0.19696940764494297,0.07878776305797719,0.7849964247456016,2.564257717555807,1.656310647821698,1.1531918806953922,2.564413532642351,1.6770180807407291,0.38752626980297306,0.25774457705612497,0.1409651900082719,0.11876886577845715,0.12456663167723636,0.10717333398089873,0.07097996468678698,0.042985874558193006,0.09557780218334033,0.03379185602737318,0.008199279165517786,0.0,0.37352922473867606,0.19355711763341926,0.1549622350725689,0.1177741264131551,0.0,0.0,0.0,0.0,0.6756664502544305,0.4619024871218006,0.2959274250808408,0.23414147892487366,99,36,6
0.75,0.35,30.0,1,contour_cross_slope,True,6029.709664621602,4531.384484910033,1.3306550535936958,-4.204375407007669,51.33989972106468,34.9817816004696,9.19289923759914,34.100996270708,17.353854202759482,0.34446507847040514,2.089554345136461,1.198239978372257,0.7216198007098852,3.060284277839851,2.217039125104515,0.25684138863020695,1.0594811440813676,0.4889912972683235,0.5862074459078874,2.418129487509167,1.1160597634657694,0.031096218478453286,0.13623717362108556,0.06565646921498099,1.143858903513609,3.060284277839851,2.3658470933226003,1.3431807702010377,3.6516309280058232,2.471397235723669,0.3023281140892216,0.26551810244639334,0.23502369033925136,0.18928207217853832,0.5462834109463577,0.4685149592675935,0.3260580908210575,0.282932479642543,0.0977988358571123,0.006315599535686265,0.006315599535686265,0.006315599535686265,0.5079409778926203,0.3696325378391919,0.2413392898749376,0.17511845169625664,0.0,0.0,0.0,0.0,0.8969691501784908,0.8002538998926678,0.6183710128211051,0.5636977881425074,48,82,1
0.75,0.35,30.0,2,upslope_downslope,True,5526.647071416598,4938.682246468461,1.1190529772124087,7.473325161793575,51.33989972106468,27.511757359889653,7.784406875720595,32.04975988982777,16.44321708789231,0.3825232842431261,2.089554345136461,0.9084435830978,0.1536833213110925,2.564257717555807,0.7785620973450956,0.21766938156206056,0.9796790096789756,0.46182511408674987,0.49680237635515584,2.235991376375616,1.0540564432732265,0.03927308419664673,0.19696940764494297,0.07878776305797719,0.7167802981711158,2.564257717555807,1.4169753526786717,1.1216982736356425,2.564413532642351,1.445004665247324,0.28573866718471896,0.1409651900082719,0.09657254154864238,0.08497700975108397,0.12456663167723636,0.10717333398089873,0.07097996468678698,0.042985874558193006,0.09557780218334033,0.03379185602737318,0.008199279165517786,0.0,0.37352922473867606,0.19355711763341926,0.1549622350725689,0.1177741264131551,0.0,0.0,0.0,0.0,0.6066759642982477,0.35671863187150593,0.2573325425199905,0.20614738879627972,99,36,6
0.75,0.35,35.0,1,contour_cross_slope,True,5892.79858127163,4531.384484910033,1.3004410905530621,-4.266369574121007,51.33989972106468,36.37394401510026,9.05240576656894,34.100996270708,17.353854202759482,0.2875430912646769,1.7427368288131306,1.0491136967055332,0.723090911494631,3.060284277839851,2.217039125104515,0.252723691016897,1.0594811440813676,0.4889912972683235,0.5768093305426307,2.418129487509167,1.1160597634657694,0.031658346008375506,0.13623717362108556,0.06565646921498099,1.1088489619030135,3.060284277839851,2.3658470933226003,1.3112856723251893,3.3051208799359606,2.471397235723669,0.27706571594647655,0.23132409778576354,0.1614036670535948,0.11043003492848481,0.5462834109463577,0.4685149592675935,0.3260580908210575,0.282932479642543,0.0977988358571123,0.006315599535686265,0.006315599535686265,0.006315599535686265,0.501625378356934,0.3391381257320499,0.2108448777677956,0.1624872526248841,0.0,0.0,0.0,0.0,0.8995851571606892,0.7813071012856091,0.5904926076961615,0.5000929569460248,46,83,2
0.75,0.35,35.0,2,upslope_downslope,True,5435.041418270592,4938.682246468461,1.1005043748576993,7.608820415636206,51.33989972106468,30.508697025845827,7.784707107190936,32.04975988982777,16.44321708789231,0.323112746629156,1.7427368288131306,0.8500987370427332,0.1536833213110925,2.564257717555807,0.7785620973450956,0.21766938156206053,0.9796790096789756,0.46182511408674987,0.4968023763551559,2.235991376375616,1.0540564432732265,0.041598845015206186,0.19696940764494297,0.0869948217098498,0.6804916533861227,2.564257717555807,1.2745886589383593,1.1025450385963809,2.564413532642351,1.299217375644229,0.24614904525856657,0.13276591084275413,0.08497700975108397,0.0627806855212692,0.12456663167723636,0.10717333398089873,0.07097996468678698,0.042985874558193006,0.08978003628456115,0.03379185602737318,0.008199279165517786,0.0,0.37932699063745523,0.19935488353219846,0.1549622350725689,0.1177741264131551,0.0,0.0,0.0,0.0,0.6008781983994684,0.3485193527059882,0.2515347766212113,0.1921503437319827,99,36,6
0.75,0.5,25.0,1,contour_cross_slope,True,5484.293869271753,4497.642833557694,1.2193706953234447,-4.1391562186874475,51.33989972106468,34.601859437893715,11.526498270931699,34.100996270708,21.44653778990133,0.4153748741603722,2.5478321653257674,1.4416391620747948,0.4969794876732053,3.149132915198801,1.364429348996684,0.3244388506192403,1.0594811440813676,0.6147005550926905,0.5183429735955751,1.6926906430700137,0.982082487930933,0.03653387722086502,0.25770164166880044,0.06926757502180494,0.974816623009336,3.149132915198801,1.6014042490828304,1.226539333134696,3.4479561533837892,1.6591441107171034,0.31994263492219543,0.2955835852330598,0.24950099344550145,0.22514194375636576,0.47091576662334356,0.27758721371316064,0.17487999977519195,0.14043110133829617,0.18323870416242283,0.028086220267659234,0.006362678169236559,0.006362678169236559,0.45182773211563393,0.2574075162176404,0.14615429813481404,0.08843801299659314,0.0,0.0,0.0,0.0,0.8358493303452867,0.6425207774351038,0.514362850820189,0.4195621596543592,46,81,2
0.75,0.5,25.0,2,upslope_downslope,True,5372.320509322202,4897.952470312618,1.0968502740450863,7.2309203964233255,54.452013123251426,29.054349955806135,9.535356627898386,32.04975988982777,18.987187843582852,0.46105314298900146,2.8430688787182206,1.1762605999348916,0.11110633665077535,1.517205529980911,0.5463294835257619,0.2679044721058323,0.9796790096789756,0.5384090534986408,0.4280202585043144,1.5651939651399245,0.8601946076081745,0.038351414861134615,0.2511359947473023,0.07731049250064015,0.694074845688627,2.8430688787182206,1.3066334574555,1.0990627929164936,2.8436085838736007,1.3555753170082994,0.4024213667285077,0.2574540010159961,0.1596676473186768,0.1173293687604999,0.108059342698123,0.05160830462055379,0.034071215434226906,0.028225519038784612,0.13870622846541533,0.0399169118296692,0.014112759519392306,0.0,0.3221721022175153,0.19757863327149228,0.0798338236593384,0.04818397495361921,0.0,0.0,0.0,0.0,0.6399169118296691,0.39616022948141144,0.2370801042495075,0.1713590401095614,99,35,6
0.75,0.5,30.0,1,contour_cross_slope,True,5243.004360799202,4480.772007881524,1.1701118359909717,-4.193899204846698,51.33989972106468,35.12261878651689,11.26330907803527,34.100996270708,21.44653778990133,0.345895338719204,2.089554345136461,1.2042054885806137,0.5044701674913634,3.149132915198801,1.3748459067917083,0.3173247895665467,1.0594811440813676,0.6147005550926905,0.5069771228247582,1.6926906430700137,0.982082487930933,0.0373103916971767,0.25770164166880044,0.0741918102129285,0.9136627936942306,3.149132915198801,1.4743591967156378,1.1763407988632966,3.4479561533837892,1.558822475529085,0.3094623605770361,0.27862569922172037,0.2169523765110891,0.18611571515577344,0.48170936535725195,0.27862569922172037,0.17553424585185431,0.1409564701466794,0.20727865376361165,0.02819129402933588,0.006386481675839026,0.006386481675839026,0.42532677729858015,0.27004772349812245,0.14934644540283956,0.08876886971608772,0.0,0.0,0.0,0.0,0.836330970943382,0.644924521135649,0.4918369613829502,0.3812632793133656,46,80,2
0.75,0.5,30.0,2,upslope_downslope,True,5225.149587392427,4897.952470312618,1.0668028363000683,7.42461546743759,51.33989972106468,29.404142245528256,9.514704245688804,32.04975988982777,18.987187843582852,0.38124707592902984,2.089554345136461,0.9780997382701188,0.1076557880349042,1.517205529980911,0.5463294835257619,0.26711044581032,0.9796790096789756,0.5384090534986408,0.42675167445421264,1.5651939651399245,0.8601946076081745,0.038764787063586624,0.19696940764494297,0.08075745713442667,0.6440795650849671,2.089554345136461,1.2471427395069694,1.0668532479128843,2.0900236985802163,1.2895196328957066,0.29494954611715757,0.15482491386166136,0.09837387578409215,0.08668248299320756,0.108059342698123,0.04334124149660378,0.025804152310276895,0.0199584559148346,0.13628486173690763,0.042338278558176914,0.00826706312395001,0.0,0.3338634950083999,0.18346587375209997,0.0798338236593384,0.056451038077569224,0.0,0.0,0.0,0.0,0.5796261032335114,0.3382907876137613,0.18989909223431514,0.14897921746621906,99,35,6
