模型,模型代码,pair_id,scenario,正向总代价_J,反向最优总代价_J,正向几何路径反向行驶代价_J,正向路径长度_m,反向路径长度_m,正反向路径单元重合率_IoU,同一几何反向代价变化率,正向_profile_edges,正向_path_length_profile_m,正向_risk_weighted_distance_J,正向_mean_unit_cost_weighted,正向_elevation_gain_m,正向_elevation_loss_m,正向_net_elevation_change_m,正向_uphill_edge_count,正向_downhill_edge_count,正向_flat_edge_count,正向_uphill_length_m,正向_uphill_length_ratio,正向_downhill_length_m,正向_downhill_length_ratio,正向_flat_length_m,正向_flat_length_ratio,正向_mean_uphill_angle_deg,正向_mean_downhill_angle_abs_deg,正向_mean_abs_longitudinal_angle_deg,正向_max_uphill_angle_deg,正向_max_downhill_angle_abs_deg,正向_mean_cross_angle_deg,正向_median_cross_angle_deg,正向_q90_cross_angle_deg,正向_max_cross_angle_deg,正向_cross_exposure_len_gt_8p0deg_m,正向_cross_exposure_ratio_gt_8p0deg,正向_cross_exposure_count_gt_8p0deg,正向_cross_exposure_len_gt_10p0deg_m,正向_cross_exposure_ratio_gt_10p0deg,正向_cross_exposure_count_gt_10p0deg,正向_cross_exposure_len_gt_12p0deg_m,正向_cross_exposure_ratio_gt_12p0deg,正向_cross_exposure_count_gt_12p0deg,正向_cross_exposure_len_gt_15p0deg_m,正向_cross_exposure_ratio_gt_15p0deg,正向_cross_exposure_count_gt_15p0deg,正向_uphill_exposure_len_gt_5p0deg_m,正向_uphill_exposure_ratio_gt_5p0deg,正向_uphill_exposure_count_gt_5p0deg,正向_uphill_exposure_len_gt_10p0deg_m,正向_uphill_exposure_ratio_gt_10p0deg,正向_uphill_exposure_count_gt_10p0deg,正向_uphill_exposure_len_gt_15p0deg_m,正向_uphill_exposure_ratio_gt_15p0deg,正向_uphill_exposure_count_gt_15p0deg,正向_downhill_exposure_len_gt_5p0deg_m,正向_downhill_exposure_ratio_gt_5p0deg,正向_downhill_exposure_count_gt_5p0deg,正向_downhill_exposure_len_gt_10p0deg_m,正向_downhill_exposure_ratio_gt_10p0deg,正向_downhill_exposure_count_gt_10p0deg,正向_downhill_exposure_len_gt_15p0deg_m,正向_downhill_exposure_ratio_gt_15p0deg,正向_downhill_exposure_count_gt_15p0deg,正向_turn_count,正向_total_turn_angle_deg,正向_mean_turn_angle_deg,正向_max_turn_angle_deg,反向_profile_edges,反向_path_length_profile_m,反向_risk_weighted_distance_J,反向_mean_unit_cost_weighted,反向_elevation_gain_m,反向_elevation_loss_m,反向_net_elevation_change_m,反向_uphill_edge_count,反向_downhill_edge_count,反向_flat_edge_count,反向_uphill_length_m,反向_uphill_length_ratio,反向_downhill_length_m,反向_downhill_length_ratio,反向_flat_length_m,反向_flat_length_ratio,反向_mean_uphill_angle_deg,反向_mean_downhill_angle_abs_deg,反向_mean_abs_longitudinal_angle_deg,反向_max_uphill_angle_deg,反向_max_downhill_angle_abs_deg,反向_mean_cross_angle_deg,反向_median_cross_angle_deg,反向_q90_cross_angle_deg,反向_max_cross_angle_deg,反向_cross_exposure_len_gt_8p0deg_m,反向_cross_exposure_ratio_gt_8p0deg,反向_cross_exposure_count_gt_8p0deg,反向_cross_exposure_len_gt_10p0deg_m,反向_cross_exposure_ratio_gt_10p0deg,反向_cross_exposure_count_gt_10p0deg,反向_cross_exposure_len_gt_12p0deg_m,反向_cross_exposure_ratio_gt_12p0deg,反向_cross_exposure_count_gt_12p0deg,反向_cross_exposure_len_gt_15p0deg_m,反向_cross_exposure_ratio_gt_15p0deg,反向_cross_exposure_count_gt_15p0deg,反向_uphill_exposure_len_gt_5p0deg_m,反向_uphill_exposure_ratio_gt_5p0deg,反向_uphill_exposure_count_gt_5p0deg,反向_uphill_exposure_len_gt_10p0deg_m,反向_uphill_exposure_ratio_gt_10p0deg,反向_uphill_exposure_count_gt_10p0deg,反向_uphill_exposure_len_gt_15p0deg_m,反向_uphill_exposure_ratio_gt_15p0deg,反向_uphill_exposure_count_gt_15p0deg,反向_downhill_exposure_len_gt_5p0deg_m,反向_downhill_exposure_ratio_gt_5p0deg,反向_downhill_exposure_count_gt_5p0deg,反向_downhill_exposure_len_gt_10p0deg_m,反向_downhill_exposure_ratio_gt_10p0deg,反向_downhill_exposure_count_gt_10p0deg,反向_downhill_exposure_len_gt_15p0deg_m,反向_downhill_exposure_ratio_gt_15p0deg,反向_downhill_exposure_count_gt_15p0deg,反向_turn_count,反向_total_turn_angle_deg,反向_mean_turn_angle_deg,反向_max_turn_angle_deg
B0 静态坡度模型,B0,2,upslope_downslope,23773.837175385044,23773.83717538503,23773.83717538503,7246.79986848333,7246.799868483328,1.0,-6.120978755349437e-16,216,7246.799868483322,23773.837175385044,3.280598002820334,1197.0,1036.0,161.0,102,86,28,3414.809703026113,0.47121622854210216,2954.0048883700083,0.4076288764668549,877.9852770872001,0.12115489499104286,14.699826896561856,15.69030559376808,13.385555081982686,46.69996295452309,44.30153323659544,9.331260604759192,7.413684602692943,18.920144537727865,39.46473822012008,3223.090297486736,0.44476049511234733,97,2453.3180992600596,0.33853813321513915,74,1839.476880853253,0.2538329903180058,56,1047.8925065140731,0.14460072384107192,31,1863.3358313329256,0.2571253332711259,56,1470.0143193815027,0.2028501333084504,44,1302.1538643217978,0.1796867428318156,39,1951.7835084481133,0.269330400158629,57,1714.3929763165588,0.23657241919602826,50,1443.2607928326638,0.19915836217714164,41,89,4050.0,18.837209302325583,90.0,216,7246.799868483322,23773.83717538504,3.280598002820333,1036.0,1197.0,-161.0,86,102,28,2954.0048883700088,0.407628876466855,3414.8097030261133,0.4712162285421022,877.9852770872001,0.12115489499104286,15.690305593768082,14.699826896561852,13.385555081982687,44.30153323659544,46.69996295452309,9.331260604759192,7.413684602692943,18.920144537727865,39.46473822012008,3223.0902974867354,0.4447604951123473,97,2453.31809926006,0.3385381332151392,74,1839.4768808532533,0.2538329903180059,56,1047.892506514073,0.1446007238410719,31,1951.783508448113,0.26933040015862897,57,1714.3929763165588,0.23657241919602826,50,1443.2607928326638,0.19915836217714164,41,1863.3358313329256,0.2571253332711259,56,1470.0143193815027,0.2028501333084504,44,1302.1538643217978,0.1796867428318156,39,89,4050.0,18.837209302325583,90.0
B1 仅纵坡方向模型,B1,2,upslope_downslope,13820.232579440639,13485.923507994796,13625.7960928267,7623.250554758588,7623.2505547585815,0.6113074204946997,-0.014068973549923295,227,7623.250554758574,13820.23257944065,1.8129054633805528,991.0,830.0,161.0,109,111,7,3759.5655123161932,0.4931709229954934,3626.294510310827,0.4756887477674765,237.3905321315543,0.03114032923703009,12.518089389645002,11.106672502294678,11.475513885676106,45.95207491520923,31.27863068876906,28.393344254528845,29.94607785840892,44.85107310259463,59.01710681590703,7083.88076385995,0.9292467449384909,212,6834.560756488561,0.8965415353195104,205,6549.4523233976615,0.8591416845546775,198,6247.4730646305925,0.8195287587301986,190,2774.214958070467,0.36391496490152103,81,1975.6424589277858,0.2591601108656403,57,1426.3899671564936,0.1871104664487401,40,2657.814781741272,0.34864586473315046,84,1664.6283009900462,0.2183620083103466,52,993.1864807512261,0.13028385642280388,32,67,3420.0,15.132743362831858,135.0,227,7623.250554758574,13485.923507994808,1.7690515890989107,825.0,986.0,-161.0,112,111,4,3655.0948112268334,0.47946670320907336,3829.0955893880414,0.5022917142606377,139.0601541436985,0.018241582530288812,10.703440105857503,12.475398867877503,11.405697625208685,31.278630688769056,45.376894540917874,29.40590818220785,31.268039081105005,45.11044808809211,52.283116406029954,7083.88076385995,0.9292467449384909,212,6944.820609716253,0.9110051624082023,208,6659.712176625353,0.8736053116433694,201,6357.732917858284,0.8339923858188906,193,2506.8251523577374,0.328839401820911,80,1628.8398752705377,0.21366736716449464,52,940.5272293555474,0.12337614021730571,31,2814.94473422631,0.3692578007250686,82,1918.0418570957727,0.25160419998244654,55,1438.3194423963298,0.18867534683069076,40,64,3465.0,15.331858407079647,135.0
Ours 纵坡+横坡非补偿模型,Ours,2,upslope_downslope,22680.418690510036,22502.131040588923,22608.911263745827,7776.2869585092885,7637.226804365587,0.8313253012048193,-0.0031528265743228415,229,7776.286958509276,22680.41869051003,2.9166128785527605,1216.0,1055.0,161.0,100,97,32,3440.7154278729536,0.44246250765063627,3318.526099405425,0.42674943930330356,1017.0454312308984,0.13078805304606034,15.154582115989168,14.154480900621696,12.815360005345362,46.69996295452309,47.436799641285745,8.103733713948994,7.3230872431742124,14.551253746100135,35.27834146009364,3258.8787232062446,0.41907902069382685,97,2309.316594680027,0.2969690556690472,69,1556.4152221295221,0.20014889245135173,47,700.2421211548267,0.09004839004668933,21,1836.582304784087,0.23617728031170318,53,1280.3416882092931,0.16464691890109162,37,1239.6119120534504,0.15940922945198072,36,1968.6543341242834,0.2531612252258856,58,1685.5926754005523,0.21676060623715493,49,1414.4604919166572,0.18189407097031965,40,97,4455.0,19.539473684210527,90.0,225,7637.226804365579,22502.131040588938,2.946374596041368,1050.0,1211.0,-161.0,94,98,33,3220.1957214175695,0.421644636712484,3371.185350801104,0.44141485347457177,1045.845732146905,0.1369405098129442,14.267494254311655,15.58120847831117,12.96633977691097,48.854375846892815,45.802956481269945,8.409951893368559,7.374799763278465,14.945926719567543,35.27834146009364,3328.4088002780927,0.435813795444115,99,2187.1272662124993,0.2863771526285297,66,1544.4857468896862,0.20223122691692616,47,769.772198226676,0.10079210922303107,23,1899.1242570524341,0.2486667354132864,56,1661.73372492088,0.21758339348662561,49,1390.601541436985,0.18208200136757646,40,1860.4412552637596,0.2436016767500341,53,1304.2006386889655,0.1707688762030035,37,1263.4708625331227,0.165435817856149,36,93,4275.0,19.084821428571427,90.0
