edge_id,from_row,from_col,to_row,to_col,edge_length_m,cum_distance_m,direction_deg,dz_m,elevation_start_m,elevation_end_m,alpha_parallel_deg,alpha_cross_deg,unit_cost,edge_cost
1,532,412,533,412,28.80030091600653,28.80030091600653,90.0,21.0,3597.0,3618.0,37.05879653702981,3.4748606612774364,7.167725734489447,206.4326580367
2,533,412,534,412,28.80030091600653,57.60060183201306,90.0,22.0,3618.0,3640.0,37.37025818880329,3.4748606612774364,7.272063949186414,209.43763001701154
3,534,412,535,412,28.80030091600653,86.40090274801959,90.0,23.0,3640.0,3663.0,41.095606675369815,4.458797880706571,8.66410661609724,249.52887771196356
4,535,412,536,412,28.80030091600653,115.20120366402612,90.0,33.0,3663.0,3696.0,44.44624843377504,5.450716616911297,9.921905870218001,285.75387472257006
5,536,412,537,412,28.80030091600653,144.00150458003264,90.0,24.0,3696.0,3720.0,41.03762211882012,6.4265112043368,8.754754981288443,252.13957790701429
6,537,412,538,412,28.80030091600653,172.80180549603918,90.0,20.0,3720.0,3740.0,35.394483498912436,9.84608920013898,7.02031851861685,202.1872858623785
7,538,412,539,412,28.80030091600653,201.6021064120457,90.0,18.0,3740.0,3758.0,35.70594515068592,14.979781258848831,7.764166908926718,223.61034333918977
8,539,412,540,413,40.729776155842714,242.33188256788844,45.0,34.0,3758.0,3792.0,34.8079100811588,17.699607520910778,7.842497828059102,319.4231810395299
9,540,413,541,414,40.729776155842714,283.06165872373117,45.0,17.0,3792.0,3809.0,27.72807798741555,12.321318417124205,5.301111612273469,215.91308934503687
10,541,414,542,415,40.729776155842714,323.7914348795739,45.0,25.0,3809.0,3834.0,22.937355623269706,6.65167187927824,3.5453775128103873,144.40243248472547
11,542,415,542,416,28.80030091600653,352.5917357955804,0.0,6.0,3834.0,3840.0,13.968950581058797,13.627413823526089,2.8911688760282885,83.26653362860709
12,542,416,543,417,40.729776155842714,393.32151195142313,45.0,11.0,3840.0,3851.0,17.061290734585917,9.716956367792971,2.765112402722676,112.622409208639
