edge_id,from_row,from_col,to_row,to_col,edge_length_m,cum_distance_m,direction_deg,dz_m,elevation_start_m,elevation_end_m,alpha_parallel_deg,alpha_cross_deg,unit_cost,edge_cost
1,532,412,533,412,28.80030091600653,28.80030091600653,90.0,21.0,3597.0,3618.0,37.05879653702981,3.4748606612774364,7.139206226471194,205.61128762379786
2,533,412,534,412,28.80030091600653,57.60060183201306,90.0,22.0,3618.0,3640.0,37.37025818880329,3.4748606612774364,7.243437887086627,208.61319081449741
3,534,412,535,412,28.80030091600653,86.40090274801959,90.0,23.0,3640.0,3663.0,41.095606675369815,4.458797880706571,8.596978118298217,247.59555677531225
4,535,412,536,412,28.80030091600653,115.20120366402612,90.0,33.0,3663.0,3696.0,44.44624843377504,5.450716616911297,9.83785357638794,283.3331433675837
5,536,412,537,412,28.80030091600653,144.00150458003264,90.0,24.0,3696.0,3720.0,41.03762211882012,6.4265112043368,8.653478851260976,249.22279488661462
6,537,412,538,412,28.80030091600653,172.80180549603918,90.0,20.0,3720.0,3740.0,35.394483498912436,9.84608920013898,6.84147262089052,197.03647019026684
7,538,412,539,412,28.80030091600653,201.6021064120457,90.0,18.0,3740.0,3758.0,35.70594515068592,14.979781258848831,7.292173341467038,210.01678656593154
8,539,412,540,413,40.729776155842714,242.33188256788844,45.0,34.0,3758.0,3792.0,34.8079100811588,17.699607520910778,7.292173341467038,297.008587887556
9,540,413,541,414,40.729776155842714,283.06165872373117,45.0,17.0,3792.0,3809.0,27.72807798741555,12.321318417124205,5.03703362580024,205.1572520682966
10,541,414,542,415,40.729776155842714,323.7914348795739,45.0,25.0,3809.0,3834.0,22.937355623269706,6.65167187927824,3.506989510840214,142.83889775741025
11,542,415,542,416,28.80030091600653,352.5917357955804,0.0,6.0,3834.0,3840.0,13.968950581058797,13.627413823526089,2.837326997728215,81.71587133168198
12,542,416,543,417,40.729776155842714,393.32151195142313,45.0,11.0,3840.0,3851.0,17.061290734585917,9.716956367792971,2.7127617479790267,110.49017875931837
13,543,417,544,417,28.80030091600653,422.12181286742964,90.0,13.0,3851.0,3864.0,18.673548315159067,2.4850236099705105,2.5962239244177017,74.7720302685652
14,544,417,545,417,28.80030091600653,450.92211378343615,90.0,4.0,3864.0,3868.0,15.98358685280894,2.980535831350779,2.1760068440720275,62.66965190456409
15,545,417,546,417,28.80030091600653,479.72241469944265,90.0,12.0,3868.0,3880.0,18.645425543781823,3.972454567555505,2.6489745723198945,76.29126480166266
16,546,417,547,417,28.80030091600653,508.52271561544916,90.0,11.0,3880.0,3891.0,16.289252514498973,9.284442048148742,2.7934497126238163,80.45219231729787
17,547,417,548,418,40.729776155842714,549.2524917712918,45.0,11.0,3891.0,3902.0,14.744944499596391,4.557956799766695,2.104046463989745,85.6973414997947
18,548,418,549,419,40.729776155842714,589.9822679271346,45.0,6.0,3902.0,3908.0,11.110802386471264,5.608100138274407,1.685461107689925,68.64845363558936
19,549,419,550,420,40.729776155842714,630.7120440829773,45.0,8.0,3908.0,3916.0,14.701459051473389,2.4557438747680207,2.0928263598405215,85.24034916935157
20,550,420,551,421,40.729776155842714,671.44182023882,45.0,17.0,3916.0,3933.0,19.593557765528388,0.7032234936947517,2.711696365724684,110.44678597857859
21,551,421,552,422,40.729776155842714,712.1715963946627,45.0,14.0,3933.0,3947.0,22.030102526552888,3.5076894310285134,3.2304366808139626,131.5749628951762
22,552,422,553,423,40.729776155842714,752.9013725505055,45.0,29.0,3947.0,3976.0,34.86102931844111,6.303781553105615,7.037192450553208,286.6232732766184
23,553,423,554,424,40.729776155842714,793.6311487063482,45.0,38.0,3976.0,4014.0,37.39842198714898,14.52597252285586,8.350462313994605,340.1124608468006
24,554,424,555,424,28.80030091600653,822.4314496223548,90.0,14.0,4014.0,4028.0,28.360324340490656,5.453952795838303,4.8128299390322695,138.61095050169473
25,555,424,556,425,40.729776155842714,863.1612257781975,45.0,19.0,4028.0,4047.0,20.824646311405463,11.098240813445909,3.411416365684818,138.9462249487211
26,556,425,557,425,28.80030091600653,891.961526694204,90.0,5.0,4047.0,4052.0,17.242507626768706,14.498432789382765,3.35478661676182,96.61886407173189
27,557,425,558,426,40.729776155842714,932.6913028500468,45.0,23.0,4052.0,4075.0,23.240743635403046,2.8074085965316127,3.451490644907387,140.5784413710631
28,558,426,559,427,40.729776155842714,973.4210790058895,45.0,18.0,4075.0,4093.0,25.57253776568761,0.7033294435271848,3.913953562830821,159.4144524984624
29,559,427,560,428,40.729776155842714,1014.1508551617322,45.0,13.0,4093.0,4106.0,16.857766653140423,4.5417174363374055,2.848872294422417,116.0339308484071
30,560,428,560,429,28.80030091600653,1042.9511560777387,0.0,3.0,4106.0,4109.0,7.886357393284346,3.9617933749300724,1.4221832163179453,40.959304587650834
31,560,429,561,430,40.729776155842714,1083.6809322335814,45.0,7.0,4109.0,4116.0,12.720698081866772,4.548469872551265,1.923853034444707,78.35810344967167
32,561,430,562,431,40.729776155842714,1124.4107083894241,45.0,21.0,4116.0,4137.0,22.989245379097042,8.378887088015837,3.7501301351973697,152.74196096186904
33,562,431,563,432,40.729776155842714,1165.1404845452669,45.0,21.0,4137.0,4158.0,26.379807354900294,6.639931482931858,4.280935766833761,174.36155552067999
34,563,432,564,433,40.729776155842714,1205.8702607011096,45.0,17.0,4158.0,4175.0,24.997678539973514,2.8095142674672853,3.817568907628182,155.48872706720084
35,564,433,565,434,40.729776155842714,1246.6000368569523,45.0,12.0,4175.0,4187.0,17.95238970946199,2.1088240299550614,2.751463470399188,112.06649125033708
36,565,434,566,434,28.80030091600653,1275.400337772959,90.0,3.0,4187.0,4190.0,7.413684602692943,5.453952795838304,1.3842815200915113,39.867724331102465
37,566,434,567,434,28.80030091600653,1304.2006386889655,90.0,3.0,4190.0,4193.0,1.482685619736407,4.464115744531377,1.1954933562185481,34.430568402180775
38,567,434,568,434,28.80030091600653,1333.000939604972,90.0,-6.0,4193.0,4187.0,-9.252693371260271,2.485023609970512,1.5829340301857853,45.58897639953758
39,568,434,569,433,40.729776155842714,1373.7307157608147,135.0,-17.0,4187.0,4170.0,-14.113649287393383,5.227583234348279,2.0969288296380832,85.40744184589238
40,569,433,570,433,28.80030091600653,1402.5310166768213,90.0,-2.0,4170.0,4168.0,-5.9031093213764585,8.85748538301487,1.6341845812823181,47.0650076932289
41,570,433,571,433,28.80030091600653,1431.3313175928279,90.0,1.0,4168.0,4169.0,-2.483531325574278,2.973400682133892,1.1158221196001876,32.13601281322163
42,571,433,572,432,40.729776155842714,1472.0610937486706,135.0,-6.0,4169.0,4163.0,-5.939241245419634,1.7572652580239014,1.2188318703860443,49.64274925243069
43,572,432,573,431,40.729776155842714,1512.7908699045133,135.0,-8.0,4163.0,4155.0,-11.761592738333501,1.406235279123613,1.657221558599907,67.49826312241099
44,573,431,574,430,40.729776155842714,1553.520646060356,135.0,-9.0,4155.0,4146.0,-12.444748498575857,3.510314432128041,1.766649599406135,71.95524272962108
45,574,430,575,429,40.729776155842714,1594.2504222161988,135.0,-6.0,4146.0,4140.0,-9.062042848258194,4.9114877495360405,1.4769566913947942,60.156115432384034
46,575,429,575,428,28.80030091600653,1623.0507231322053,180.0,-5.0,4140.0,4135.0,-7.3533689394226975,6.920836034263462,1.594408115512185,45.91943350967383
47,575,428,576,427,40.729776155842714,1663.780499288048,135.0,-9.0,4135.0,4126.0,-13.127388946827477,4.910756711106295,1.869981692379344,76.16393574613461
48,576,427,577,426,40.729776155842714,1704.5102754438908,135.0,-8.0,4126.0,4118.0,-10.049575088662781,5.258647037278919,1.634592313674111,66.57657904200758
49,577,426,578,425,40.729776155842714,1745.2400515997335,135.0,-3.0,4118.0,4115.0,-3.855579757201137,6.65167187927824,1.28840968786337,52.47663818369424
50,578,425,579,424,40.729776155842714,1785.9698277555763,135.0,2.0,4115.0,4117.0,1.7525203810732692,8.716112085173535,1.406347642451212,57.28022467433499
51,579,424,580,423,40.729776155842714,1826.699603911419,135.0,1.0,4117.0,4118.0,0.6995352501216432,9.750437178561008,1.5024065452561293,61.19268228335512
52,580,423,581,422,40.729776155842714,1867.4293800672617,135.0,-10.0,4118.0,4108.0,-9.63968779036868,6.289849333805704,1.7864036227549844,72.759819678797
53,581,422,582,421,40.729776155842714,1908.1591562231044,135.0,-9.0,4108.0,4099.0,-13.100275635123984,2.8107791820064003,1.8285558984294799,74.47667243147858
54,582,421,583,420,40.729776155842714,1948.8889323789472,135.0,-5.0,4099.0,4094.0,-9.750437178561008,2.1091411147200416,1.443627355340599,58.798619035473806
55,583,420,584,419,40.729776155842714,1989.61870853479,135.0,-8.0,4094.0,4086.0,-8.723693423733138,2.46017109362033,1.3653857451935276,55.61185576811088
56,584,419,585,418,40.729776155842714,2030.3484846906326,135.0,0.0,4086.0,4086.0,-5.595653250834121,3.5118913100328406,1.2299958414751195,50.09745529589902
57,585,418,586,417,40.729776155842714,2071.078260846475,135.0,-5.0,4086.0,4081.0,-3.5118913100328406,5.605606389544385,1.2043756311764964,49.053949865370484
58,586,417,587,417,28.80030091600653,2099.8785617624817,90.0,-1.0,4081.0,4080.0,0.0,5.939767849298359,1.1913040131862436,34.30991406221003
59,587,417,588,416,40.729776155842714,2140.608337918324,135.0,1.0,4080.0,4081.0,2.45943211834113,5.951537152629045,1.2019938023111885,48.956938508844964
60,588,416,589,416,28.80030091600653,2169.4086388343308,90.0,3.0,4081.0,4084.0,6.926941247654498,8.788929826768474,1.7036809667504105,49.06652450728474
61,589,416,590,415,40.729776155842714,2210.1384149901733,135.0,18.0,4084.0,4102.0,18.25460893625818,6.304712527012773,2.6984352390266073,109.90666325659164
62,590,415,591,414,40.729776155842714,2250.8681911460158,135.0,11.0,4102.0,4113.0,16.582844147814438,8.028274776091074,2.6284199333881872,107.05495553045589
63,591,414,591,413,28.80030091600653,2279.6684920620223,180.0,5.0,4113.0,4118.0,11.73849868493004,8.25928235065931,2.1698869845292217,62.49339810816759
64,591,413,592,412,40.729776155842714,2320.398268217865,135.0,17.0,4118.0,4135.0,21.88909640466153,5.608100138274407,3.3460196489126277,136.28263131326275
65,592,412,593,411,40.729776155842714,2361.1280443737073,135.0,19.0,4135.0,4154.0,24.984108435739593,10.380308292680564,4.225605657347145,172.10797254661185
66,593,411,593,410,28.80030091600653,2389.928345289714,180.0,12.0,4154.0,4166.0,21.183941604342824,6.928978666267092,3.270349433509217,94.18704778555694
67,593,410,594,409,40.729776155842714,2430.6581214455564,135.0,11.0,4166.0,4177.0,16.73878440882234,7.344561994628367,2.4598708549352635,100.18998929379472
68,594,409,594,408,28.80030091600653,2459.458422361563,180.0,7.0,4177.0,4184.0,13.601383911493606,13.479899348671736,2.838013109662565,81.73563156185331
69,594,408,595,407,40.729776155842714,2500.1881985174055,135.0,25.0,4184.0,4209.0,22.921606691974105,6.649712316190271,3.5181109395209136,143.2918710581083
70,595,407,596,406,40.729776155842714,2540.917974673248,135.0,7.0,4209.0,4216.0,16.3495175775717,3.8590364946937807,2.58470165225571,105.27431972601188
71,596,406,597,405,40.729776155842714,2581.6477508290905,135.0,2.0,4216.0,4218.0,8.035299093430325,1.7577940510547718,1.301410503267749,53.00615848495803
72,597,405,598,404,40.729776155842714,2622.377526984933,135.0,10.0,4218.0,4228.0,13.040991297100621,1.4064469873895025,1.8605392784542758,75.77934834059577
