实验,pair_id,roi_id,scenario,模型,模型代码,邻域数,起点_row,起点_col,终点_row,终点_col,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以D,路径节点数,是否找到路径,profile_edges,path_length_profile_m,risk_weighted_distance_J,mean_unit_cost_weighted,elevation_gain_m,elevation_loss_m,net_elevation_change_m,uphill_edge_count,downhill_edge_count,flat_edge_count,uphill_length_m,uphill_length_ratio,downhill_length_m,downhill_length_ratio,flat_length_m,flat_length_ratio,mean_uphill_angle_deg,mean_downhill_angle_abs_deg,mean_abs_longitudinal_angle_deg,max_uphill_angle_deg,max_downhill_angle_abs_deg,mean_cross_angle_deg,median_cross_angle_deg,q90_cross_angle_deg,max_cross_angle_deg,cross_exposure_len_gt_8p0deg_m,cross_exposure_ratio_gt_8p0deg,cross_exposure_count_gt_8p0deg,cross_exposure_len_gt_10p0deg_m,cross_exposure_ratio_gt_10p0deg,cross_exposure_count_gt_10p0deg,cross_exposure_len_gt_12p0deg_m,cross_exposure_ratio_gt_12p0deg,cross_exposure_count_gt_12p0deg,cross_exposure_len_gt_15p0deg_m,cross_exposure_ratio_gt_15p0deg,cross_exposure_count_gt_15p0deg,uphill_exposure_len_gt_5p0deg_m,uphill_exposure_ratio_gt_5p0deg,uphill_exposure_count_gt_5p0deg,uphill_exposure_len_gt_10p0deg_m,uphill_exposure_ratio_gt_10p0deg,uphill_exposure_count_gt_10p0deg,uphill_exposure_len_gt_15p0deg_m,uphill_exposure_ratio_gt_15p0deg,uphill_exposure_count_gt_15p0deg,downhill_exposure_len_gt_5p0deg_m,downhill_exposure_ratio_gt_5p0deg,downhill_exposure_count_gt_5p0deg,downhill_exposure_len_gt_10p0deg_m,downhill_exposure_ratio_gt_10p0deg,downhill_exposure_count_gt_10p0deg,downhill_exposure_len_gt_15p0deg_m,downhill_exposure_ratio_gt_15p0deg,downhill_exposure_count_gt_15p0deg,turn_count,total_turn_angle_deg,mean_turn_angle_deg,max_turn_angle_deg
情景路径风险暴露,10,2,random_far_1,B0 静态坡度模型,B0,8,716,801,798,750,6466.492685808072,3536.1512297916397,1.828681033584951,1.2714795643026806,101,True,100,3536.151229791643,6466.492685808071,1.8286810335849493,65.0,505.0,-440.0,14,77,9,438.9926385435999,0.12414419237648562,2802.167457284476,0.7924342809992279,294.9911339635673,0.08342152662428658,4.466916565818019,8.233614867891616,7.127565227969404,9.823549724983218,39.29764029659539,7.278575430873877,6.876442387811807,13.465061590239683,19.58938599480709,1100.5517579097518,0.3112287021657155,32,690.3594202821585,0.1952290429396697,19,457.9102385869382,0.1294939635864836,13,196.66075597571157,0.055614351082857734,6,196.66075597571154,0.05561435108285773,6,0.0,0.0,0,0.0,0.0,0,1781.028477319242,0.5036629831649434,49,666.5004698024861,0.18848189075945082,19,208.59023121554773,0.05898792717296717,6,57,2565.0,25.90909090909091,45.0
情景路径风险暴露,10,2,random_far_1,B1 仅纵坡方向模型,B1,8,716,801,798,750,4026.8132615276236,3003.76956369652,1.3405866116347882,1.0800532465743962,85,True,84,3003.769563696521,4026.813261527625,1.3405866116347882,44.0,484.0,-440.0,11,64,9,352.59173579558035,0.11738308426085499,2368.1161691772104,0.7883814383760324,283.0616587237311,0.09423547736311294,5.441705817603157,10.341691215814445,8.834809999060125,13.363999348623452,31.261847834515677,22.34504024130154,18.442099938143237,44.35620044165985,58.46756160481084,2486.211948910402,0.8276972970758788,71,2375.95209568271,0.7909901359939204,68,2102.773137831648,0.7000447581750971,61,1795.8525286282443,0.5978662778706031,52,155.93097981986884,0.05191176503831935,5,69.53007707184925,0.023147606897742062,2,0.0,0.0,0,1910.2059305902721,0.6359362428053638,51,951.608902893385,0.3168048955534089,26,474.7810642631086,0.1580617468135039,14,22,990.0,11.927710843373495,45.0
情景路径风险暴露,10,2,random_far_1,Ours 纵坡+横坡非补偿模型,Ours,8,716,801,798,750,5736.994872638459,3560.010180271312,1.6115108053430445,1.2800584304170692,101,True,100,3560.010180271315,5736.99487263846,1.6115108053430434,69.0,509.0,-440.0,13,78,9,410.1923376275934,0.11522223725672938,2854.8267086801543,0.801915321619272,294.9911339635673,0.08286244112399854,3.98738431004037,8.545495771573327,7.368110610498183,9.823549724983218,39.29764029659539,6.745919458326164,6.541843302304635,11.777839452310685,17.557634090679947,932.6913028500469,0.2619911898058013,27,563.228741378296,0.15820986819070593,15,330.77955968307595,0.09291534094935273,9,139.0601541436985,0.03906172934963362,4,127.1306789038623,0.03571076274118223,4,0.0,0.0,0,0.0,0.0,0,1845.617203954757,0.5184303163464827,50,747.9600221141716,0.21010052899825363,21,261.24948261122665,0.07338447627453591,7,53,2385.0,24.09090909090909,45.0
