模型方案,样本数,找到路径数,路径成功率,规划模型内部相对累计代价_Jplan_mean,规划模型内部相对累计代价_Jplan_std,规划路径长度_L_m_mean,规划路径长度_L_m_std,规划平均单位距离相对代价_mean,规划平均单位距离相对代价_std,规划绕行率_L除以直线距离_mean,规划绕行率_L除以直线距离_std,V10统一重评价相对累计代价_Jplan_mean,V10统一重评价相对累计代价_Jplan_std,V10统一重评价平均单位距离相对代价_mean,V10统一重评价平均单位距离相对代价_std,平均上坡牵引利用率_mean,平均上坡牵引利用率_std,平均下坡制动利用率_mean,平均下坡制动利用率_std,平均侧翻稳定性利用率_mean,平均侧翻稳定性利用率_std,平均侧滑附着利用率_mean,平均侧滑附着利用率_std,平均最大利用率_mean,平均最大利用率_std,最大rho_max_mean,最大rho_max_std,P_rho_max_gt_1p0_mean,P_rho_max_gt_1p0_std,P_rho_max_gt_0p9_mean,P_rho_max_gt_0p9_std,P_rho_slide_gt_0p7_mean,P_rho_slide_gt_0p7_std,P_rho_roll_gt_0p7_mean,P_rho_roll_gt_0p7_std,P_rho_up_gt_0p7_mean,P_rho_up_gt_0p7_std,P_rho_down_gt_0p7_mean,P_rho_down_gt_0p7_std,主导限制_上坡牵引_路径比例_mean,主导限制_上坡牵引_路径比例_std,主导限制_下坡制动_路径比例_mean,主导限制_下坡制动_路径比例_std,主导限制_侧翻稳定性_路径比例_mean,主导限制_侧翻稳定性_路径比例_std,主导限制_侧滑附着_路径比例_mean,主导限制_侧滑附着_路径比例_std
B0_Static_Slope,20,20,1.0,31333.29613041032,5404.554629273947,10466.472362902128,1695.061813929082,3.0235890784985573,0.49267577651413713,1.309427480107828,0.14383336387864856,18133.475461671747,2666.447155511155,1.739624221214313,0.1084823873497776,0.2583114330360099,0.06596393577052295,0.372756563385308,0.10334527524770268,0.20573127783026662,0.026551203037281562,0.5162471352499557,0.06283625606685926,0.8361618126045061,0.08927940792267126,3.0469385522923123,1.5037855428301392,0.31774464030522,0.08979716422298921,0.3914924581941935,0.09584547770442987,0.2581200701845711,0.04606642135600883,0.015138636228858646,0.01809236641784568,0.14139363911303765,0.061823489557337914,0.22563812454029647,0.08633739823184686,0.26689142091672297,0.07714581207113413,0.30959907719982904,0.0956427782502077,0.0,0.0,0.423509501883448,0.10639982071648976
B1_Longitudinal_Directional,20,20,1.0,17927.2039480892,2755.8378743627723,10660.896213051523,1416.7705585611966,1.6803147054292356,0.13171413732682957,1.3322722728940417,0.06617209176311113,26506.24496621856,4557.446869453658,2.4835404258930374,0.24660349188278352,0.19183232681907925,0.04756893227704924,0.2859417803726852,0.08321171389934172,0.5762718444288193,0.09012082408194666,1.4885004644736894,0.26095168974410327,1.538460262797555,0.24667983256457865,4.650014333206893,1.9684707509751136,0.7900132380280405,0.13491013715806047,0.8272448540599282,0.11651974441749276,0.8421624082760546,0.09495037700008006,0.35200932264112966,0.13921728537148365,0.06613149002748916,0.031014748697533897,0.17003134695104033,0.0717572440684341,0.036352668505958544,0.024660768270102527,0.08049688274635494,0.048431732580654814,0.0,0.0,0.8831504487476867,0.05289107625736291
V9_Constant_Adhesion,20,20,1.0,15746.642983480433,1890.9021519183154,8975.873932028417,988.3227977359643,1.757208361879385,0.13443879064356296,1.1252700799631965,0.05022687317724351,17241.34995986493,2152.7210912693104,1.9247239983819497,0.1674962371263452,0.3060654978753075,0.06988100053231275,0.4608589887808952,0.13357995850583249,0.27103761912617974,0.04457547350961718,0.7114424226524416,0.11233957410746441,1.0160037494503076,0.152794853640954,4.108576117344263,1.7290545756558826,0.46725132474709535,0.12001818003128992,0.5324768874010598,0.1291273066714665,0.4206444418219341,0.10528237515535516,0.0312669296739926,0.026221984709203346,0.2010324892676428,0.059400168573683916,0.28581887512848536,0.09332564857860397,0.23311624501649778,0.07529635993792867,0.3093591049276961,0.10607459486228499,0.0,0.0,0.45752465005580617,0.08267943365063492
V10_Free,20,20,1.0,17145.008828151746,2132.0875764439497,9124.117974564431,1019.0344331887534,1.8828193980936458,0.16107672817328936,1.143952892989525,0.05631103283651927,17145.008828151746,2132.0875764439497,1.8828193980936458,0.16107672817328936,0.3057268113030956,0.07322264914560578,0.4560205196323304,0.12879947149303048,0.2473700127883407,0.042501718668674894,0.6304207770789151,0.10305619934229678,0.9602658767203543,0.14317744144097833,3.1398265952993425,1.0312896888480154,0.43418276592552923,0.11321532112186808,0.49865608017879604,0.12405804608229604,0.37226128594436575,0.10714765482767405,0.02197565100965349,0.025004355714145114,0.20250152589719916,0.06652743143631924,0.2892187377490579,0.09044176374424069,0.2717755951356765,0.08093475355475835,0.3235709436580868,0.10366129744332561,0.0,0.0,0.404653461206237,0.08223545237422439
V10_Hard_rho_1p0,20,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
V10_Hard_rho_1p2,20,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
V10_Hard_rho_1p5,20,14,0.7,25419.299550650292,9316.473854072798,13929.723863008143,4879.987214938519,1.8186829342676225,0.10129636977140652,1.794307150774564,0.635046396511929,25419.299550650292,9316.473854072798,1.8186829342676225,0.10129636977140652,0.28727575764577223,0.043287196716749424,0.41260800450358603,0.10936876095375812,0.2545623364478392,0.018807075894739043,0.640407011227807,0.05090771075277236,0.9145193875110554,0.0852456932571677,3.8957139510834256,2.065986305838415,0.42396879348481686,0.08820406852973312,0.5079972762675222,0.10437275263950671,0.3886630306847022,0.06399185962476535,0.011963523590385617,0.010168966112957086,0.19111754439643172,0.04865850366422656,0.2885349776142978,0.08960350198923274,0.2593551756744256,0.05524716299727166,0.3071939595493244,0.10212865594041161,0.0,0.0,0.43345086477624983,0.09169125532584806
