pair_id,roi_id,scenario,模型代码,模型名称,起点_row,起点_col,终点_row,终点_col,是否找到路径,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以直线距离,路径节点数,alpha_parallel_deg_mean_weighted,alpha_parallel_deg_max,alpha_parallel_deg_p90,alpha_cross_deg_mean_weighted,alpha_cross_deg_max,alpha_cross_deg_p90,rho_up_mean_weighted,rho_up_max,rho_up_p90,rho_down_mean_weighted,rho_down_max,rho_down_p90,rho_roll_mean_weighted,rho_roll_max,rho_roll_p90,rho_slide_mean_weighted,rho_slide_max,rho_slide_p90,rho_break_mean_weighted,rho_break_max,rho_break_p90,rho_max_mean_weighted,rho_max_max,rho_max_p90,unit_cost_mean_weighted,unit_cost_max,unit_cost_p90,E_rho_up_gt_0p5,E_rho_up_gt_0p7,E_rho_up_gt_0p9,E_rho_up_gt_1p0,E_rho_down_gt_0p5,E_rho_down_gt_0p7,E_rho_down_gt_0p9,E_rho_down_gt_1p0,E_rho_roll_gt_0p5,E_rho_roll_gt_0p7,E_rho_roll_gt_0p9,E_rho_roll_gt_1p0,E_rho_slide_gt_0p5,E_rho_slide_gt_0p7,E_rho_slide_gt_0p9,E_rho_slide_gt_1p0,E_rho_break_gt_0p5,E_rho_break_gt_0p7,E_rho_break_gt_0p9,E_rho_break_gt_1p0,E_rho_max_gt_0p5,E_rho_max_gt_0p7,E_rho_max_gt_0p9,E_rho_max_gt_1p0,上坡段数量_alpha_gt_1deg,下坡段数量_alpha_lt_minus1deg,近似平坡段数量_abs_alpha_le_1deg
1,1,contour_cross_slope,B0,B0 静态坡度,267,654,392,725,True,19667.698273881422,5020.141798780147,3.9177575180566633,1.2125251248115567,143,-3.1941190376292776,53.72617774905808,32.94983172342746,9.371512233186248,33.413448289183464,18.25553529978623,0.3074495675786307,2.2720318158764754,1.1147228354552623,0.4037230333115457,3.185424268336193,0.9546515347433063,0.2987324351338485,1.1699569554423352,0.5849784777211676,0.4211231135022094,1.649288318888731,0.8246441594443655,0.039785688939247534,0.2199491718701863,0.08469684528732548,0.803522992030166,3.185424268336193,1.2867426352242157,1.12403231186109,3.199578565655258,1.3142337217525384,0.2633935518551132,0.22786806427112624,0.18567541454861622,0.17193665907096342,0.3727316435873908,0.20079498451642738,0.13307759041771494,0.08145614957636522,0.21982008764244487,0.06064580075958266,0.02747751095530561,0.019429534326624243,0.3695655834064674,0.21982008764244487,0.06869377738826403,0.06064580075958266,0.0,0.0,0.0,0.0,0.7527024014022494,0.5224771393514133,0.3599692713992896,0.3002998539292585,47,95,1
1,1,contour_cross_slope,B1,B1 方向纵坡,267,654,392,725,True,11546.817526655039,6735.3825767987155,1.7143521388718452,1.6268107409975783,198,-2.2714714099552147,30.508697025845827,15.76695833144461,30.197932505319784,54.21288293201134,42.362403538666555,0.18153779532300993,1.0192746721215542,0.5221488214251566,0.22921259371492164,1.6560929672055327,0.6838809060361422,1.087436079070016,2.460082846013938,1.6172540139583327,1.5329586395511945,3.4679787855061073,2.2798429818205883,0.04751226487791451,0.3085854053104106,0.10340893901359507,1.5566864508181553,3.4679787855061073,2.2798429818205883,1.958504101270452,5.222841524882523,3.022173640343367,0.13369580212261345,0.071098170156011,0.014511326386874523,0.006010788197465992,0.1663646093422666,0.08779718921042796,0.031512402765691595,0.02301186457628306,0.871887812510072,0.7922891041646524,0.664906147563905,0.617851130197758,0.9111715225759912,0.871887812510072,0.8103214687570502,0.7880388350699481,0.0,0.0,0.0,0.0,0.9426839253416828,0.8991499461810591,0.8273225451358673,0.7922891041646524,78,114,6
1,1,contour_cross_slope,V6,V6 经验纵横坡,267,654,392,725,True,17728.697161624445,4864.210818960278,3.6447222008798423,1.174862796067373,138,-3.633582600230005,51.33989972106468,36.37394401510026,8.029565205559317,34.100996270708,17.35385420275948,0.3168615326474674,2.089554345136461,1.2578950804558249,0.43888220667266586,2.326102094168156,0.9658806490379919,0.2546146767068771,1.2007452963750285,0.5541901367884745,0.35893030949289545,1.6926906430700137,0.7812418352630831,0.03793520267699262,0.2018936428360665,0.0722221161364791,0.8269322400282189,2.326102094168156,1.366827045508042,1.141218336587968,3.0511424085676673,1.3758437859666726,0.26856332580639186,0.23425715912350292,0.19061704132681973,0.1705209541570154,0.38106081476578313,0.2340838912356466,0.13907115735855816,0.09988886227637883,0.14412055364570486,0.03430616668288895,0.02009608716980433,0.01177201531343943,0.267135140864176,0.14412055364570486,0.03430616668288895,0.03430616668288895,0.0,0.0,0.0,0.0,0.7383325611077572,0.551163463238012,0.35810835771154714,0.29882997545956347,49,88,1
1,1,contour_cross_slope,V7,V7 车辆约束,267,654,392,725,True,5253.647475639051,4480.772007881524,1.172487121950875,1.0822500351342386,128,-4.193899204846698,51.33989972106468,35.12261878651689,11.26330907803527,34.100996270708,21.44653778990133,0.345895338719204,2.089554345136461,1.2042054885806137,0.5044701674913634,3.149132915198801,1.3748459067917083,0.35963476143371936,1.2007452963750285,0.6966606289596992,0.5069771228247582,1.6926906430700137,0.982082487930933,0.0373103916971767,0.25770164166880044,0.0741918102129285,0.9136627936942306,3.149132915198801,1.4743591967156378,1.1790285881265932,3.4757904353006874,1.5632913181112675,0.3094623605770361,0.27862569922172037,0.2169523765110891,0.18611571515577344,0.48170936535725195,0.27862569922172037,0.17553424585185431,0.1409564701466794,0.27004772349812245,0.08876886971608772,0.01541833067765783,0.006386481675839026,0.42532677729858015,0.27004772349812245,0.14934644540283956,0.08876886971608772,0.0,0.0,0.0,0.0,0.836330970943382,0.644924521135649,0.4918369613829502,0.3812632793133656,46,80,2
2,1,upslope_downslope,B0,B0 静态坡度,365,627,294,752,True,13441.65436645325,5338.991883223388,2.5176390338203554,1.2895376383882966,152,7.532107311636095,51.33989972106468,26.049108636495784,7.038912836939127,26.723744518553328,14.408598654237727,0.3611258548589686,2.089554345136461,0.8565828127754831,0.08357657053633075,1.8350608511716553,0.28582572708768816,0.22168695324343526,0.8928618870480979,0.45566744580385726,0.3125120977602078,1.2586674012571895,0.64235439788298,0.04093982192266294,0.22979764225243346,0.08026503361531429,0.5335285219205004,2.089554345136461,0.9633574984651291,1.0474023143269091,2.0900469293642474,1.1148362524589814,0.2675723311854398,0.1273095663982415,0.07863974579990327,0.054955766513316025,0.06698840943611026,0.03349420471805513,0.022763423820424677,0.015175615880283119,0.0808621632912296,0.0214615617952609,0.0,0.0,0.15099354568482873,0.0808621632912296,0.0625435744534576,0.01073078089763045,0.0,0.0,0.0,0.0,0.40469212301514923,0.19207555834302542,0.13267495684705674,0.07549677284241436,106,35,11
2,1,upslope_downslope,B1,B1 方向纵坡,365,627,294,752,True,9236.71581128471,5399.487061124567,1.7106654218671193,1.3041491625394568,157,6.287042525518032,45.68761016911773,20.217790366913363,20.369728253978725,50.55020606474546,39.30275573893779,0.30094907488905503,1.723972442600685,0.661344059620148,0.06264848117495661,0.8922120621071727,0.24638547815985373,0.7086144920419291,2.1551838652885125,1.4516844910556916,0.9989338487057087,3.038162692689768,2.04643962555432,0.042712114582911576,0.3085854053104107,0.10078268024499583,1.0579805028217966,3.038162692689768,2.04643962555432,1.4884885918144135,4.483366939072529,2.5931742925966184,0.2080494239717659,0.07996100043312729,0.028725631017671848,0.023420034796402516,0.053055962212693285,0.0371391735488853,0.0,0.0,0.5632120064559225,0.4510403715810919,0.3233290051565406,0.2892977779175994,0.6647724488882144,0.5632120064559225,0.48416130242141414,0.44042917913855323,0.0,0.0,0.0,0.0,0.7222237109235581,0.5888296911636501,0.49697014477527796,0.4532380214924171,106,39,12
2,1,upslope_downslope,V6,V6 经验纵横坡,365,627,294,752,True,13135.041549837542,5338.991883223388,2.460210061587007,1.2895376383882966,152,7.334815010222944,51.33989972106468,26.049108636495784,6.801177288136651,25.114604821166303,12.692342729663624,0.36047561137414075,2.089554345136461,0.8565828127754831,0.09089156633301237,1.5895402295152758,0.28582572708768816,0.21377823259317413,0.8312852051827119,0.3994107492914916,0.30136317426763515,1.1718627528946248,0.5630493328671191,0.040730432137769564,0.22979764225243346,0.09881298616854646,0.5368431896826386,2.089554345136461,0.9633574984651291,1.0489193458927495,2.0900469293642474,1.1017326947806623,0.26697899240290696,0.12480976949210752,0.07624787370038875,0.052616413384553015,0.07127484196329219,0.03785491028595571,0.030283928228764564,0.022712946171573423,0.0699758668032449,0.010706985505763066,0.0,0.0,0.13773424430218018,0.0699758668032449,0.051697899240290696,0.005353492752881533,0.0,0.0,0.0,0.0,0.41358319392232556,0.19386712215109012,0.12702725879641713,0.07532935955612644,106,34,12
2,1,upslope_downslope,V7,V7 车辆约束,365,627,294,752,True,5237.820424104063,4897.952470312618,1.0693898023411714,1.1830124861871394,140,7.413642710424478,51.33989972106468,29.404142245528256,9.45252970550413,32.04975988982777,18.987187843582852,0.38124707592902984,2.089554345136461,0.9780997382701188,0.10887362872010266,1.7949804043980007,0.5463294835257619,0.3005654203318599,1.1103028774045205,0.6101969271711492,0.4237070727339686,1.5651939651399245,0.8601946076081745,0.03836797453608755,0.19696940764494297,0.07895190423101466,0.6462124876263662,2.089554345136461,1.2583306090210757,1.0698094071416238,2.0900469293642474,1.2923020958140323,0.29494954611715757,0.15482491386166136,0.09837387578409215,0.08668248299320756,0.108059342698123,0.04334124149660378,0.017537089186326883,0.017537089186326883,0.18346587375209997,0.0715667605353884,0.00826706312395001,0.00826706312395001,0.3338634950083999,0.18346587375209997,0.0715667605353884,0.04818397495361921,0.0,0.0,0.0,0.0,0.5796261032335114,0.3382907876137613,0.18163202911036513,0.14655785073771135,99,35,6
3,1,diagonal_ne_sw,B0,B0 静态坡度,279,639,380,740,True,16784.751950634065,4874.093519832945,3.4436663724928582,1.1848420550327927,140,-0.9303847089423042,39.21319648845686,31.588011877053944,8.600182461220447,39.85412003248107,17.35385420275948,0.30814766055670373,1.3865122248753532,1.0608576353555859,0.3225598986471966,1.8596129133316424,0.7817773836112801,0.27399551707965053,1.4804038365393608,0.5541901367884745,0.3862514801465433,2.0869252868532326,0.7812418352630831,0.03612596681706778,0.11818164458696578,0.07238625730951657,0.7317771021375719,2.0869252868532326,1.180343447747187,1.078245417998636,2.7002739641875717,1.2235599933297618,0.2680219861177612,0.2220366833283002,0.15842895062155796,0.14424751418546805,0.3197085135790096,0.15884641313288259,0.08651392478448625,0.04741060895740786,0.1594367942781802,0.04497745913283878,0.016614586260658985,0.008307293130329492,0.3223145820375517,0.1594367942781802,0.04497745913283878,0.03910331582707837,0.0,0.0,0.0,0.0,0.732985857538861,0.47772000168924295,0.28992033453888294,0.2307614389699543,61,79,0
3,1,diagonal_ne_sw,B1,B1 方向纵坡,279,639,380,740,True,10696.085599226219,5663.631119804965,1.8885561882417499,1.3767705333580444,167,-0.37585630453403585,36.097998976797115,21.079417707871237,27.20688786062913,53.90340404313576,42.61806725187625,0.2312025239812896,1.2459038008231318,0.6891831072591462,0.21773944639596396,1.2047087961140497,0.6006331184656293,0.9712297191513264,2.43227893368275,1.631782069432731,1.369142534092842,3.4287836103213096,2.3003231816079674,0.04189100890690456,0.21994917187018628,0.0909342098627487,1.4219221611420068,3.4287836103213096,2.3003231816079674,1.8184378140484696,5.150770969393749,3.060702199377183,0.23033896530041997,0.10696657069139594,0.029488357900751813,0.00505940235154539,0.1495374625752715,0.07119119357610684,0.029488357900751813,0.0172738801261486,0.7586741737879688,0.6976017849149527,0.6314699936903913,0.5683019317458627,0.8248059650125302,0.7586741737879688,0.7047568603380105,0.6874829802118619,0.0,0.0,0.0,0.0,0.8900697000285711,0.7953176071117783,0.729185815887217,0.7047568603380105,77,87,3
