模型,模型代码,AI_min,AI_q10,AI_mean,AI_median,AI_q90,AI_max,min_cost_min,min_cost_q10,min_cost_mean,min_cost_median,min_cost_q90,min_cost_max
B0 静态坡度模型,B0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4850060454025105,5.757143981150675,5.555391834368097,9.194780037730506,14.815510557964274
B1 仅纵坡方向模型,B1,0.0,0.3515932155745312,0.5583584701604659,0.5890444389201284,0.7184990033958072,0.873541862502297,1.0,1.0,1.1083182708586294,1.003984145881686,1.3333920163205013,10.788407938314313
B2 仅横坡方向模型,B2,0.0,0.370680942973893,0.5730820684564363,0.5933465833398202,0.7476115573363585,0.873541862502297,1.0,1.0043966455108828,1.320249303608166,1.1571753176269208,1.8294371860387693,12.985281147103999
Ours 纵坡+横坡非补偿模型,Ours,0.0,0.10196313367124692,0.11600347034262828,0.11658412399936874,0.1355052739022307,0.14695774971041353,1.0,1.7985058401554934,4.649022332631047,4.34862638132445,7.747128809208817,14.815510557964274
