pair_id,roi_id,scenario,模型代码,模型名称,起点_row,起点_col,终点_row,终点_col,是否找到路径,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以直线距离,路径节点数,评价路径长度_m,平均上坡牵引利用率,平均下坡制动利用率,平均侧翻稳定性利用率,平均侧滑附着利用率,平均最大利用率,最大上坡牵引利用率,最大下坡制动利用率,最大侧翻稳定性利用率,最大侧滑附着利用率,最大rho_max,P_rho_roll_gt_0p7,P_rho_slide_gt_0p7,P_rho_up_gt_0p7,P_rho_down_gt_0p7,P_rho_max_gt_1p0,P_rho_max_gt_0p9,主导限制_上坡牵引_路径比例,主导限制_下坡制动_路径比例,主导限制_侧翻稳定性_路径比例,主导限制_侧滑附着_路径比例,平均侧滑附着能力_mu_s,平均制动附着能力_mu_b
1,1,contour_cross_slope,B0,B0 静态坡度代价,565,597,694,662,True,16894.472268994374,5704.360895960805,2.9616766149836637,1.3711670461241126,168,5704.360895960805,0.2769162685490911,0.24305463165350696,0.22504345637681888,0.8633851741166525,1.0509889015036786,2.4026861842721767,3.0614549539839597,0.8144570902154679,8.593221683463447,8.593221683463447,0.03360927000168096,0.381173286355409,0.1610548613594162,0.09246264836298526,0.33415003303974566,0.38586329931861096,0.17829261678570468,0.202163052152259,0.0,0.6195443310620359,0.3104905515225703,0.3104905515225703
1,1,contour_cross_slope,B1,B1 方向纵坡代价,565,597,694,662,True,9385.586498537747,5436.123288546075,1.7265220084896162,1.3066903107761283,162,5436.123288546076,0.24485850902531464,0.2300195771331426,0.4827568202785618,1.5146776635357075,1.5783960966158146,1.2629405158656222,3.0614549539839597,1.409140044975968,8.593221683463447,8.593221683463447,0.26511797874454707,0.753879332931916,0.09793406768695827,0.10012854978506883,0.7018088327429041,0.7273895907136989,0.007492430541753982,0.11511341086857678,0.0,0.8773941585896685,0.32440872590410885,0.32440872590410885
1,1,contour_cross_slope,V9常数附着,V9 常数附着车辆能力利用率,565,597,694,662,True,8745.592653775102,5253.438782177368,1.6647367593670441,1.2627781215688165,154,5253.438782177368,0.2678800186054399,0.2591371760580785,0.26681120086235627,0.9201937649035514,1.0873227177886151,1.50350061412574,3.0614549539839597,0.9049523224616309,8.593221683463447,8.593221683463447,0.05200002687341483,0.4454536860508128,0.16524463541092854,0.12005698938050044,0.3838194977971956,0.4586888411472679,0.16430404189852335,0.14652729957341046,0.0,0.6891686585280654,0.3204903027164695,0.3204903027164695
1,1,contour_cross_slope,V10空间附着,V10 空间附着车辆能力利用率,565,597,694,662,True,9909.534374564202,5294.16855833321,1.8717829372784593,1.2725684079618895,155,5294.168558333211,0.27955993395308015,0.2636772509031512,0.2548126844417402,0.8797136211019696,1.069422276425671,1.50350061412574,3.0614549539839597,0.9049523224616309,4.910412390550541,4.910412390550541,0.04390664542203454,0.42889333195054663,0.17485336325180934,0.1168800279071499,0.4048799901947852,0.46829333006492835,0.18705333873877233,0.17617332968780477,0.0,0.6367733315734223,0.3186856783808355,0.3186856783808355
2,1,upslope_downslope,B0,B0 静态坡度代价,662,565,597,694,True,20371.67365630874,5402.381637193735,3.7708690396946483,1.2985797719690733,160,5402.3816371937355,0.3627687966131378,0.47589580903587436,0.2364532121733066,0.5856425783120396,1.0440546874310435,1.8923811539842799,2.619807363796774,0.723961857969305,1.9303843733239396,2.619807363796774,0.015078452020283326,0.30393415968081494,0.21879448539578417,0.2676884874155308,0.5188480650253541,0.55433600690259,0.2454496745791301,0.35648680765945856,0.0,0.39806351776141163,0.3801504026675046,0.3801504026675046
2,1,upslope_downslope,B1,B1 方向纵坡代价,662,565,597,694,True,12434.284242093348,6676.58300230153,1.862372449770645,1.6048617470803077,203,6676.583002301524,0.22790200186071777,0.31865611002037014,0.7022946395357289,1.9040267750728421,1.9287102146670432,1.530915090863687,1.8679279332981642,1.409140044975968,6.905267424211701,6.905267424211701,0.5251416712713436,0.9489765557563933,0.07289814854921564,0.22880190670690717,0.9177344920924437,0.9324621421424708,0.023354907707448098,0.046709815414896196,0.0,0.9299352768776563,0.3598691564504183,0.3598691564504183
2,1,upslope_downslope,V9常数附着,V9 常数附着车辆能力利用率,662,565,597,694,True,8638.79685510659,4514.513659233866,1.9135609075934514,1.0851614180305171,130,4514.513659233867,0.4270166602646435,0.5861711611321901,0.29916864903271917,0.7574727468260736,1.2336272824417083,2.3454609580361545,3.386087277101314,0.8273849805363485,2.114321817169962,3.386087277101314,0.015401454579638776,0.5049643580985184,0.30757571510049675,0.31531533594449257,0.5989210097451502,0.6605268280637052,0.3022907714098578,0.3137674117756935,0.0,0.3839418168144491,0.37759920462286145,0.37759920462286145
2,1,upslope_downslope,V10空间附着,V10 空间附着车辆能力利用率,662,565,597,694,True,9515.162513432662,4514.513659233866,2.1076827387531774,1.0851614180305171,130,4514.513659233867,0.4274003230321769,0.6005369360933471,0.30709982569323574,0.7759287718113823,1.2432285624665766,2.3454609580361545,3.386087277101314,0.8273849805363485,2.114321817169962,3.386087277101314,0.021780945946798372,0.5139863213109975,0.30757571510049675,0.32807431867881176,0.5962785378998305,0.6578843562183857,0.30867026277701737,0.3137674117756935,0.0,0.3775623254472895,0.3778736350787553,0.3778736350787553
3,1,diagonal_ne_sw,B0,B0 静态坡度代价,578,578,680,680,True,19992.916407987657,5287.180433529708,3.78139476405961,1.2726586586474813,156,5287.180433529709,0.39229431727310016,0.3284073049682835,0.23772123047878013,0.7443079415957072,1.0512313859012568,2.0837455403422416,2.5781174298957876,0.9954475547077943,3.836259680117611,3.836259680117611,0.02855768424811149,0.34191797056965756,0.264335534565341,0.16325548874865106,0.38588264789012444,0.4856409826565946,0.22449634083423267,0.24760683044276585,0.0,0.5278968287230017,0.3393534032745593,0.3393534032745593
3,1,diagonal_ne_sw,B1,B1 方向纵坡代价,578,578,680,680,True,12426.51852987339,6418.228095759467,1.9361291534782958,1.5449091745465062,199,6418.228095759464,0.2658163619375803,0.24855601644984898,0.541544647401656,1.4905076500123324,1.5345782825429732,1.6538506755383142,2.6086565824799752,1.9928249628880472,4.890273085948938,4.890273085948938,0.30160356652841647,0.7575007932239354,0.10275614003726745,0.15134617999639347,0.6846157332852463,0.726089926641421,0.03698692670152977,0.08743565336699426,0.0,0.875577419931476,0.3443501466718545,0.3443501466718545
