edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
0,39,410,180.0,57.60060183201306,57.60060183201306,3032.0,2.2537578707235566,-25.521002402119144,22.194567927199287,0.0,1.2537578707235566,0.4296457488795331,1.0713930895274029,1.2537578707235566,1,下坡制动,0.38079566803308296,0.38079566803308296
1,40,408,135.0,81.45955231168543,139.0601541436985,3039.0,2.679312080739309,21.141236063247327,33.78425211462873,0.6697753522528634,0.0,0.7045700224879841,1.6793120807393092,1.6793120807393092,3,侧滑附着,0.39840343112502463,0.39840343112502463
2,40,408,135.0,81.45955231168543,220.51970645538393,3039.0,2.679312080739309,21.141236063247327,33.78425211462873,0.6697753522528634,0.0,0.7045700224879841,1.6793120807393092,1.6793120807393092,3,侧滑附着,0.39840343112502463,0.39840343112502463
3,42,406,135.0,81.45955231168543,301.9792587670694,3021.0,3.0507815235958127,-38.155515715596394,17.70187716505362,0.0,2.0507815235958127,0.33612514834289153,0.833129993960799,2.0507815235958127,1,下坡制动,0.38310565080601744,0.38310565080601744
4,42,406,135.0,81.45955231168543,383.43881107875484,3021.0,3.0507815235958127,-38.155515715596394,17.70187716505362,0.0,2.0507815235958127,0.33612514834289153,0.833129993960799,2.0507815235958127,1,下坡制动,0.38310565080601744,0.38310565080601744
5,44,404,135.0,81.45955231168543,464.8983633904403,2902.0,2.488689369199834,-26.71690207473714,17.70187716505362,0.0,1.488689369199834,0.33612514834289153,0.9440469170535535,1.488689369199834,1,下坡制动,0.33809422250710264,0.33809422250710264
6,44,404,135.0,81.45955231168543,546.3579157021258,2902.0,2.488689369199834,-26.71690207473714,17.70187716505362,0.0,1.488689369199834,0.33612514834289153,0.9440469170535535,1.488689369199834,1,下坡制动,0.33809422250710264,0.33809422250710264
7,46,402,135.0,81.45955231168543,627.8174680138112,2966.0,2.1375549633501008,33.29561472528911,5.260405223531599,1.137554963350101,0.0,0.09695917740660323,0.2565605567699905,1.137554963350101,0,上坡牵引,0.3588635539939287,0.3588635539939287
8,46,402,135.0,81.45955231168543,709.2770203254967,2966.0,2.1375549633501008,33.29561472528911,5.260405223531599,1.137554963350101,0.0,0.09695917740660323,0.2565605567699905,1.137554963350101,0,上坡牵引,0.3588635539939287,0.3588635539939287
9,48,400,135.0,81.45955231168543,790.7365726371821,3076.0,1.9036651578014823,27.552459957976556,2.4602634966785217,0.9036651578014822,0.0,0.045247616123081466,0.11421325890961383,0.9036651578014822,0,上坡牵引,0.37619195223369645,0.37619195223369645
10,48,400,135.0,81.45955231168543,872.1961249488676,3076.0,1.9036651578014823,27.552459957976556,2.4602634966785217,0.9036651578014822,0.0,0.045247616123081466,0.11421325890961383,0.9036651578014822,0,上坡牵引,0.37619195223369645,0.37619195223369645
11,50,398,135.0,81.45955231168543,953.655677260553,3186.0,2.0525041249687854,31.285524477699425,10.093075972322593,1.0525041249687854,0.0,0.18745440965276633,0.4479328818487939,1.0525041249687854,0,上坡牵引,0.3973864347709174,0.3973864347709174
12,50,398,135.0,81.45955231168543,1035.1152295722384,3186.0,2.0525041249687854,31.285524477699425,10.093075972322593,1.0525041249687854,0.0,0.18745440965276633,0.4479328818487939,1.0525041249687854,0,上坡牵引,0.3973864347709174,0.3973864347709174
13,52,396,135.0,81.45955231168543,1116.5747818839238,3260.0,2.0068129083214146,6.304712527012774,21.446537789901328,0.191364386357961,0.0,0.4136924902681741,1.0068129083214148,1.0068129083214148,3,侧滑附着,0.39017477020888053,0.39017477020888053
14,52,396,135.0,81.45955231168543,1198.0343341956093,3260.0,2.0068129083214146,6.304712527012774,21.446537789901328,0.191364386357961,0.0,0.4136924902681741,1.0068129083214148,1.0068129083214148,3,侧滑附着,0.39017477020888053,0.39017477020888053
15,54,394,135.0,81.45955231168543,1279.4938865072947,3214.0,2.524427170959755,-10.093075972322596,28.647046733818332,0.0,0.49672346020036945,0.5752911192791796,1.5244271709597548,1.5244271709597548,3,侧滑附着,0.358353218939893,0.358353218939893
16,54,394,180.0,57.60060183201306,1337.0944883393079,3214.0,2.4291693170927946,-27.119138547008298,14.596429528741982,0.0,1.4291693170927946,0.27424196736991485,0.7266962629285397,1.4291693170927946,1,下坡制动,0.358353218939893,0.358353218939893
17,54,392,180.0,57.60060183201306,1394.695090171321,3149.0,2.3718658046901773,-22.194567927199284,28.288641003131207,0.0,1.0399627874264243,0.5667667325644905,1.371865804690177,1.371865804690177,3,侧滑附着,0.392304274938213,0.392304274938213
18,54,392,180.0,57.60060183201306,1452.2956920033341,3149.0,2.3718658046901773,-22.194567927199284,28.288641003131207,0.0,1.0399627874264243,0.5667667325644905,1.371865804690177,1.371865804690177,3,侧滑附着,0.392304274938213,0.392304274938213
19,54,390,135.0,81.45955231168543,1533.7552443150196,3140.0,2.3050105597684003,30.769040296538822,24.719034491019876,1.0312414153734564,0.0,0.4847958870330165,1.3050105597684003,1.3050105597684003,3,侧滑附着,0.35275665979682985,0.35275665979682985
20,56,390,135.0,81.45955231168543,1615.214796626705,3208.0,2.0421215319837875,25.86889637238869,20.526852363291454,0.8398770290154953,0.0,0.39430065478685344,1.0421215319837873,1.0421215319837873,3,侧滑附着,0.3592853011153588,0.3592853011153588
21,56,388,135.0,81.45955231168543,1696.6743489383905,3234.0,1.882402448206153,26.996808671650445,11.450596599655704,0.8824024482061531,0.0,0.21331019029452725,0.5145154338632495,0.8824024482061531,0,上坡牵引,0.39368014989704214,0.39368014989704214
22,57,388,180.0,57.60060183201306,1754.2749507704036,3258.0,1.6345437044247275,1.4917248561692151,13.661016318661032,0.04510501842377226,0.0,0.2559591695452538,0.6345437044247275,0.6345437044247275,3,侧滑附着,0.3830358944442137,0.3830358944442137
23,57,386,180.0,57.60060183201306,1811.8755526024167,3238.0,2.0641542108492072,-22.61965241027332,5.4543575851442405,0.0,1.0641542108492072,0.10055538803563537,0.24386867331960987,1.0641542108492072,1,下坡制动,0.3915431690913588,0.3915431690913588
24,57,386,180.0,57.60060183201306,1869.4761544344299,3238.0,2.0641542108492072,-22.61965241027332,5.4543575851442405,0.0,1.0641542108492072,0.10055538803563537,0.24386867331960987,1.0641542108492072,1,下坡制动,0.3915431690913588,0.3915431690913588
25,57,384,180.0,57.60060183201306,1927.076756266443,3163.0,3.0893922090369617,-39.80527667438869,20.030820031076374,0.0,2.0893922090369617,0.38393875431788055,0.9141090914536705,2.0893922090369617,1,下坡制动,0.3988359010195772,0.3988359010195772
26,57,384,180.0,57.60060183201306,1984.6773580984561,3163.0,3.0893922090369617,-39.80527667438869,20.030820031076374,0.0,2.0893922090369617,0.38393875431788055,0.9141090914536705,2.0893922090369617,1,下坡制动,0.3988359010195772,0.3988359010195772
27,57,382,180.0,57.60060183201306,2042.2779599304693,3063.0,3.19098279454162,-40.95949962845594,26.325583803853206,0.0,2.19098279454162,0.5210597380028379,1.248860192888723,2.19098279454162,1,下坡制动,0.3961904610877546,0.3961904610877546
28,57,382,180.0,57.60060183201306,2099.878561762482,3063.0,3.19098279454162,-40.95949962845594,26.325583803853206,0.0,2.19098279454162,0.5210597380028379,1.248860192888723,2.19098279454162,1,下坡制动,0.3961904610877546,0.3961904610877546
29,57,380,180.0,57.60060183201306,2157.4791635944953,2971.0,2.6955251195233396,-33.413448289183464,21.76689446983807,0.0,1.6955251195233394,0.4205043499672026,1.0262388881325475,1.6955251195233394,1,下坡制动,0.38909203993080355,0.38909203993080355
30,57,380,180.0,57.60060183201306,2215.0797654265084,2971.0,2.6955251195233396,-33.413448289183464,21.76689446983807,0.0,1.6955251195233394,0.4205043499672026,1.0262388881325475,1.6955251195233394,1,下坡制动,0.38909203993080355,0.38909203993080355
31,57,378,180.0,57.60060183201306,2272.6803672585215,2910.0,2.4130516754762557,-28.288641003131207,24.29366311851227,0.0,1.4130516754762554,0.47535274344118555,1.185140114915569,1.4130516754762554,1,下坡制动,0.380869878377895,0.380869878377895
32,57,378,180.0,57.60060183201306,2330.2809690905347,2910.0,2.4130516754762557,-28.288641003131207,24.29366311851227,0.0,1.4130516754762554,0.47535274344118555,1.185140114915569,1.4130516754762554,1,下坡制动,0.380869878377895,0.380869878377895
33,57,376,180.0,57.60060183201306,2387.881570922548,2833.0,3.161785212726767,-39.51049792462547,12.243999552799576,0.0,2.161785212726767,0.22853497280826218,0.568890845454412,2.161785212726767,1,下坡制动,0.3814644278670156,0.3814644278670156
34,58,376,135.0,81.45955231168543,2469.3411232342332,2802.0,3.3262728574464853,-38.372322399008986,15.440722165727088,0.0,2.3262728574464853,0.29087753221981005,0.811490531667379,2.3262728574464853,1,下坡制动,0.34037451927144224,0.34037451927144224
35,58,374,180.0,57.60060183201306,2526.9417250662464,2746.0,2.322966376241769,-15.984643037480364,25.521002402119144,0.0,0.7937798257450617,0.5027769401781771,1.322966376241769,1.322966376241769,3,侧滑附着,0.3608750565686754,0.3608750565686754
36,58,374,135.0,81.45955231168543,2608.401277377932,2746.0,2.4967655934757573,-28.375494547201935,7.690492757713024,0.0,1.4967655934757573,0.14220679352968485,0.3741913983689393,1.4967655934757573,1,下坡制动,0.3608750565686754,0.3608750565686754
37,60,372,135.0,81.45955231168543,2689.8608296896173,2719.0,2.4651165613591566,4.911487749536038,27.828199353972916,0.14883896716730285,0.0,0.555899283797859,1.4651165613591566,1.4651165613591566,3,侧滑附着,0.36029170035982694,0.36029170035982694
38,60,372,180.0,57.60060183201306,2747.4614315216304,2719.0,1.8673436931992544,23.46196414599771,17.353854202759482,0.7517503070628699,0.0,0.32909036084389776,0.8673436931992544,0.8673436931992544,3,侧滑附着,0.36029170035982694,0.36029170035982694
39,60,370,135.0,81.45955231168543,2828.920983833316,2789.0,2.7225602699238802,19.283251459131545,31.79641184203538,0.6059872234668763,0.0,0.6528584612044623,1.7225602699238802,1.7225602699238802,3,侧滑附着,0.359894269685603,0.359894269685603
40,61,370,180.0,57.60060183201306,2886.521585665329,2772.0,2.15769547287682,33.75860090101552,18.255535299786235,1.15769547287682,0.0,0.3473731586685588,0.8588621128100126,1.15769547287682,0,上坡牵引,0.38406358695263065,0.38406358695263065
41,61,368,180.0,57.60060183201306,2944.122187497342,2840.0,2.8382024263647705,25.114604821166296,35.44318956191034,0.8118903316278996,0.0,0.7495947108111005,1.8382024263647705,1.8382024263647705,3,侧滑附着,0.38722509899085295,0.38722509899085295
42,62,368,135.0,81.45955231168543,3025.5817398090276,2808.0,2.9428518391946383,-11.112374481460868,36.827260438450715,0.0,0.5096004824117087,0.788601309573707,1.9428518391946386,1.9428518391946386,3,侧滑附着,0.38543232266593813,0.38543232266593813
43,62,366,135.0,81.45955231168543,3107.041292120713,2824.0,2.300609971175867,-25.58347811338173,20.83467098651783,0.0,1.300609971175867,0.4007645999472937,1.0338181822167145,1.300609971175867,1,下坡制动,0.3681082133560661,0.3681082133560661
44,64,366,135.0,81.45955231168543,3188.5008444323985,2757.0,2.326658411075016,-24.428173456638085,17.061290734585917,0.0,1.3266584110750161,0.323197258022011,0.8963908182939295,1.3266584110750161,1,下坡制动,0.3423738519916921,0.3423738519916921
45,64,364,135.0,81.45955231168543,3269.960396744084,2761.0,2.2307620965905803,-5.957042611943117,24.135964881774434,0.0,0.286615830712875,0.47186799671213614,1.2307620965905803,1.2307620965905803,3,侧滑附着,0.3640631574933596,0.3640631574933596
46,66,364,135.0,81.45955231168543,3351.4199490557694,2703.0,2.1429571616200027,-16.739330382967093,21.750566730477875,0.0,0.8616138602981558,0.4201564354286143,1.1429571616200025,1.1429571616200025,3,侧滑附着,0.34906908497858224,0.34906908497858224
47,66,362,135.0,81.45955231168543,3432.879501367455,2706.0,2.494858101743997,-18.020474976839544,28.102544864337734,0.0,0.9106606826716308,0.5623632289582993,1.4948581017439972,1.4948581017439972,3,侧滑附着,0.35722946012708356,0.35722946012708356
48,68,362,135.0,81.45955231168543,3514.3390536791403,2652.0,1.7823024742278757,-13.129200208573168,15.766958331444604,0.0,0.6462498700143323,0.2973414773802501,0.7823024742278757,0.7823024742278757,3,侧滑附着,0.3609201357600047,0.3609201357600047
49,68,360,135.0,81.45955231168543,3595.7986059908258,2648.0,2.095458239012559,-20.834670986517832,18.969325164143413,0.0,1.095458239012559,0.36198092898465234,0.9894461513661821,1.095458239012559,1,下坡制动,0.3473952272906387,0.3473952272906387
50,70,360,135.0,81.45955231168543,3677.258158302511,2639.0,2.0498091587323355,20.21779036691336,19.59597880864291,0.6378812878598699,0.0,0.37490881930553277,1.0498091587323357,1.0498091587323357,3,侧滑附着,0.3391139225200215,0.3391139225200215
51,70,358,180.0,57.60060183201306,3734.8587601345243,2644.0,2.4749883150255765,-2.4852102713074986,26.325583803853213,0.0,0.12938493991452404,0.5210597380028381,1.4749883150255765,1.4749883150255765,3,侧滑附着,0.335451128926413,0.335451128926413
52,70,358,180.0,57.60060183201306,3792.4593619665375,2644.0,2.4749883150255765,-2.4852102713074986,26.325583803853213,0.0,0.12938493991452404,0.5210597380028381,1.4749883150255765,1.4749883150255765,3,侧滑附着,0.335451128926413,0.335451128926413
53,70,356,180.0,57.60060183201306,3850.0599637985506,2637.0,2.425504403649435,-1.98861709514605,25.521002402119148,0.0,0.10367304753814055,0.5027769401781771,1.4255044036494349,1.4255044036494349,3,侧滑附着,0.3349169350441208,0.3349169350441208
54,70,356,180.0,57.60060183201306,3907.6605656305637,2637.0,2.425504403649435,-1.98861709514605,25.521002402119148,0.0,0.10367304753814055,0.5027769401781771,1.4255044036494349,1.4255044036494349,3,侧滑附着,0.3349169350441208,0.3349169350441208
55,70,354,180.0,57.60060183201306,3965.261167462577,2637.0,2.5369116357124586,8.880567841118104,27.901593589619868,0.2706301105426333,0.0,0.5576253336521599,1.5369116357124586,1.5369116357124586,3,侧滑附着,0.34452752031709544,0.34452752031709544
56,70,354,135.0,81.45955231168543,4046.7207197742623,2637.0,1.839877029015495,25.868896372388683,14.78517827020936,0.8398770290154951,0.0,0.27794964189892946,0.7660771722452769,0.8398770290154951,0,上坡牵引,0.34452752031709544,0.34452752031709544
57,71,352,180.0,57.60060183201306,4104.321321606275,2672.0,1.6680640419722415,-13.190477710228915,8.394434666411337,0.0,0.6680640419722415,0.15540378150961842,0.4206329153158559,0.6680640419722415,1,下坡制动,0.35082347764876504,0.35082347764876504
58,72,352,135.0,81.45955231168543,4185.78087391796,2669.0,inf,-0.7033294435271841,20.217790366913356,0.0,0.15345038720470422,0.38783670962641326,4.603511616141132,4.603511616141132,3,侧滑附着,0.08,0.08
59,72,350,180.0,57.60060183201306,4243.381475749973,2687.0,2.0231249766249793,10.330999225657402,20.468591166327204,0.31573512896640554,0.0,0.39308015323021117,1.023124976624979,1.023124976624979,3,侧滑附着,0.36482345402253835,0.36482345402253835
60,72,350,135.0,81.45955231168543,4324.841028061658,2687.0,1.6804067070505277,21.44653778990133,7.690492757713024,0.6804067070505277,0.0,0.14220679352968485,0.37014161389308625,0.6804067070505277,0,上坡牵引,0.36482345402253835,0.36482345402253835
61,74,348,135.0,81.45955231168543,4406.300580373343,2686.0,2.2512641476558706,-3.8626438201321216,25.868896372388683,0.0,0.17422665347107041,0.5106516676747774,1.2512641476558704,1.2512641476558704,3,侧滑附着,0.38753066591519797,0.38753066591519797
62,74,348,135.0,81.45955231168543,4487.760132685028,2686.0,2.2512641476558706,-3.8626438201321216,25.868896372388683,0.0,0.17422665347107041,0.5106516676747774,1.2512641476558704,1.2512641476558704,3,侧滑附着,0.38753066591519797,0.38753066591519797
63,76,346,135.0,81.45955231168543,4569.219684996713,2666.0,1.7034822521108905,-3.8626438201321234,15.440722165727085,0.0,0.17196232829377314,0.29087753221981,0.7034822521108905,0.7034822521108905,3,侧滑附着,0.3926335012558072,0.3926335012558072
