说明,本文件仅为兼容旧版；建议查看 01_场统计指标.csv、02_路径规划指标.csv、03_指标公式与阅读说明.md

模型,路径总代价J,路径长度m,平均单位距离代价,绕行率,路径节点数
B0 标量坡度模型,26213.37646926956,56674.43731768884,0.4625255707847675,1.7393428919434062,1717
B1 仅纵坡方向模型,5432.6596398564025,64382.53863156756,0.08438094792976526,1.97590512114599,1966
Ours 纵坡+横坡方向模型,20801.888905339347,56771.07209227267,0.3664170525356482,1.7423086206959435,1710
