roi_id,r0,c0,r1,c1,mean_ai,mean_slope_deg,score
1,240,600,420,780,0.22253921364533064,35.83523501315852,1.3321762217933715
2,240,720,420,900,0.22271256643550383,35.73319063891473,1.331314373054845
3,600,480,780,660,0.21852268261541702,35.545413768721936,1.302831679725828
4,360,600,540,780,0.2190032423295267,35.332343260409814,1.3017775126225164
