edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
40,702,704,0.0,28.80030091600653,1514.8376442716815,3770.0,1.2104900859776035,6.928978666267095,2.98143012479497,0.21049008597760363,0.0,0.05484839347398295,0.12382220704899541,0.21049008597760363,0,上坡牵引,0.42062559104050634,0.42062559104050634
41,702,706,45.0,40.729776155842714,1555.5674204275242,3774.0,1.340203353525264,11.112374481460865,4.212581547545064,0.3402033535252639,0.0,0.07756734192528264,0.17683067112561163,0.3402033535252639,0,上坡牵引,0.41653513009520904,0.41653513009520904
42,703,706,0.0,28.80030091600653,1584.3677213435308,3776.0,1.2104900859776035,6.928978666267095,0.0,0.21049008597760363,0.0,0.0,0.0,0.21049008597760363,0,上坡牵引,0.41969171268535144,0.41969171268535144
43,703,708,0.0,28.80030091600653,1613.1680222595373,3787.0,1.420980171955207,13.661016318661032,6.928978666267095,0.4209801719552072,0.0,0.12797958477262691,0.2808893377915002,0.4209801719552072,0,上坡牵引,0.4326490591847416,0.4326490591847416
44,703,708,0.0,28.80030091600653,1641.968323175544,3787.0,1.420980171955207,13.661016318661032,6.928978666267095,0.4209801719552072,0.0,0.12797958477262691,0.2808893377915002,0.4209801719552072,0,上坡牵引,0.4326490591847416,0.4326490591847416
45,704,710,45.0,40.729776155842714,1682.6980993313866,3803.0,1.255152515143948,8.380105429147626,5.608931874667524,0.25515251514394793,0.0,0.10342312256704354,0.2302642320674588,0.25515251514394793,0,上坡牵引,0.4265024052002065,0.4265024052002065
46,704,710,45.0,40.729776155842714,1723.4278754872294,3803.0,1.255152515143948,8.380105429147626,5.608931874667524,0.25515251514394793,0.0,0.10342312256704354,0.2302642320674588,0.25515251514394793,0,上坡牵引,0.4265024052002065,0.4265024052002065
47,706,712,45.0,40.729776155842714,1764.157651643072,3805.0,1.534810311748966,5.608931874667523,12.460340243342161,0.1701016767626319,0.0,0.23270202577584798,0.5348103117489661,0.5348103117489661,3,侧滑附着,0.4131718385897375,0.4131718385897375
48,706,712,45.0,40.729776155842714,1804.8874277989148,3805.0,1.534810311748966,5.608931874667523,12.460340243342161,0.1701016767626319,0.0,0.23270202577584798,0.5348103117489661,0.5348103117489661,3,侧滑附着,0.4131718385897375,0.4131718385897375
49,708,714,45.0,40.729776155842714,1845.6172039547575,3798.0,1.7362809736654152,-17.061290734585917,17.061290734585917,0.0,0.7362809736654153,0.3231972580220111,0.7362809736654153,0.7362809736654153,1,下坡制动,0.4168256256596562,0.4168256256596562
