edge_id,row,col,theta_deg,edge_len_m,cum_dist_m,elev_m,unit_cost,alpha_parallel_deg,alpha_cross_deg,rho_up,rho_down,rho_roll,rho_slide,rho_max,dominant_limit_code,dominant_limit_name,mu_slide,mu_brake
0,662,566,45.0,40.729776155842714,40.729776155842714,3200.0,2.776859363939546,-9.067281418318654,33.049221441027555,0.0,0.43583342889083226,0.6851781870066633,1.7768593639395462,1.7768593639395462,3,侧滑附着,0.36616834247445484,0.36616834247445484
1,664,566,90.0,28.80030091600653,69.53007707184925,3205.0,1.3071647490741678,-5.946801364267784,2.9814301247949704,0.0,0.30716474907416785,0.05484839347398296,0.15358237453708395,0.30716474907416785,1,下坡制动,0.3391195711822231,0.3391195711822231
2,664,566,45.0,40.729776155842714,110.25985322769196,3205.0,1.3257974155177126,-2.109141114720041,6.304712527012773,0.0,0.1085991385059042,0.11635101288792399,0.3257974155177126,0.3257974155177126,3,侧滑附着,0.3391195711822231,0.3391195711822231
3,665,568,0.0,28.80030091600653,139.0601541436985,3184.0,2.4074253774958048,-25.924666120793336,10.811610559159867,0.0,1.4074253774958048,0.20111077607127084,0.5529171125876376,1.4074253774958048,1,下坡制动,0.34538671705857565,0.34538671705857565
4,665,568,0.0,28.80030091600653,167.86045505970503,3184.0,2.4074253774958048,-25.924666120793336,10.811610559159867,0.0,1.4074253774958048,0.20111077607127084,0.5529171125876376,1.4074253774958048,1,下坡制动,0.34538671705857565,0.34538671705857565
5,664,570,315.0,40.729776155842714,208.59023121554776,3138.0,2.9476681443340347,-34.506878897249734,21.44653778990134,0.0,1.9476681443340345,0.4136924902681743,1.1129532253337344,1.9476681443340345,1,下坡制动,0.3529645146800362,0.3529645146800362
6,664,570,0.0,28.80030091600653,237.3905321315543,3138.0,3.164186125136539,-37.3755187086414,11.768169401761957,0.0,2.164186125136539,0.21939357389593178,0.5902325795826922,2.164186125136539,1,下坡制动,0.3529645146800362,0.3529645146800362
7,664,572,0.0,28.80030091600653,266.19083304756083,3104.0,2.392786087802935,-28.288641003131207,3.972454567555506,0.0,1.3927860878029348,0.07313119129864394,0.17971433391005612,1.3927860878029348,1,下坡制动,0.3864116855514829,0.3864116855514829
8,664,572,0.0,28.80030091600653,294.99113396356734,3104.0,2.392786087802935,-28.288641003131207,3.972454567555506,0.0,1.3927860878029348,0.07313119129864394,0.17971433391005612,1.3927860878029348,1,下坡制动,0.3864116855514829,0.3864116855514829
9,664,574,0.0,28.80030091600653,323.79143487957384,3066.0,2.796544641062906,-34.77755089565154,21.766894469838075,0.0,1.7965446410629058,0.4205043499672027,1.033013168611171,1.7965446410629058,1,下坡制动,0.38654045714623075,0.38654045714623075
10,664,574,0.0,28.80030091600653,352.59173579558035,3066.0,2.796544641062906,-34.77755089565154,21.766894469838075,0.0,1.7965446410629058,0.4205043499672027,1.033013168611171,1.7965446410629058,1,下坡制动,0.38654045714623075,0.38654045714623075
11,664,576,0.0,28.80030091600653,381.39203671158685,3029.0,1.963031258031227,-20.03082003107638,4.961104227408825,0.0,0.9630312580312271,0.09141398912330492,0.2292931566741017,0.9630312580312271,1,下坡制动,0.3785749632016284,0.3785749632016284
12,664,576,45.0,40.729776155842714,422.1218128674296,3029.0,1.8431006790124194,-17.701877165053617,11.112374481460865,0.0,0.8431006790124193,0.2068462451340871,0.5188311870845657,0.8431006790124193,1,下坡制动,0.3785749632016284,0.3785749632016284
13,666,578,45.0,40.729776155842714,462.8515890232723,3006.0,2.7290923418932884,-31.027982518193017,13.12920020857317,0.0,1.7290923418932886,0.24562991609672846,0.6704643774688261,1.7290923418932886,1,下坡制动,0.34788513548893,0.34788513548893
14,666,578,45.0,40.729776155842714,503.58136517911504,3006.0,2.7290923418932884,-31.027982518193017,13.12920020857317,0.0,1.7290923418932886,0.24562991609672846,0.6704643774688261,1.7290923418932886,1,下坡制动,0.34788513548893,0.34788513548893
15,667,580,0.0,28.80030091600653,532.3816660951215,2961.0,2.1676400436338294,-23.461964145997715,3.972454567555506,0.0,1.1676400436338297,0.07313119129864394,0.18682240698141275,1.1676400436338297,1,下坡制动,0.3717097954087905,0.3717097954087905
